image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/30680659.jpg|Water Enchantress of the Temple|100.00%|2.98
https://images.ygoprodeck.com/images/cards/3285551.jpg|Rite of Aramesir|100.00%|2.73
https://images.ygoprodeck.com/images/cards/39568067.jpg|Fateful Adventure|100.00%|1.02
https://images.ygoprodeck.com/images/cards/38745520.jpg|Dracoback, the Rideable Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/2563463.jpg|Wandering Gryphon Rider|95.10%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|80.50%|2.88
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|78.00%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|58.50%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|58.50%|2.83
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|46.30%|2.90
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|43.90%|2.89
https://images.ygoprodeck.com/images/cards/9742784.jpg|Jet Synchron|34.10%|2.00
https://images.ygoprodeck.com/images/cards/97631303.jpg|Magicians' Souls|34.10%|1.29
https://images.ygoprodeck.com/images/cards/12266229.jpg|Illusion of Chaos|34.10%|1.21
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|31.70%|2.92
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|31.70%|2.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|29.30%|2.75
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|26.80%|3.00
https://images.ygoprodeck.com/images/cards/55623480.jpg|Fairy Tail - Snow|26.80%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|26.80%|1.00
https://images.ygoprodeck.com/images/cards/67723438.jpg|Emergency Teleport|26.80%|3.00
https://images.ygoprodeck.com/images/cards/37799519.jpg|Stardust Synchron|24.40%|2.30
https://images.ygoprodeck.com/images/cards/55920742.jpg|Noh-P.U.N.K. Foxy Tune|24.40%|1.90
https://images.ygoprodeck.com/images/cards/19535693.jpg|Noh-P.U.N.K. Ze Amin|24.40%|1.60
https://images.ygoprodeck.com/images/cards/6609736.jpg|Noh-P.U.N.K. Deer Note|24.40%|1.00
https://images.ygoprodeck.com/images/cards/63184227.jpg|Stardust Trail|24.40%|1.00
https://images.ygoprodeck.com/images/cards/37750912.jpg|Stardust Illumination|24.40%|1.00
https://images.ygoprodeck.com/images/cards/77202120.jpg|Assault Synchron|22.00%|1.11
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|19.50%|2.25
https://images.ygoprodeck.com/images/cards/97682931.jpg|Revolution Synchron|19.50%|1.88
https://images.ygoprodeck.com/images/cards/42198835.jpg|Illegal Knight|19.50%|1.00
https://images.ygoprodeck.com/images/cards/26118970.jpg|Red Rose Dragon|19.50%|1.00
https://images.ygoprodeck.com/images/cards/93708824.jpg|Roxrose Dragon|19.50%|1.00
https://images.ygoprodeck.com/images/cards/69167267.jpg|Basal Rose Shoot|19.50%|1.00
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|17.10%|2.14
https://images.ygoprodeck.com/images/cards/5560911.jpg|Destrudo the Lost Dragon's Frisson|17.10%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|17.10%|3.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|17.10%|3.00
https://images.ygoprodeck.com/images/cards/99243014.jpg|Synchro Overtake|17.10%|2.86
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|17.10%|1.14
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|14.60%|2.50
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|14.60%|1.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|14.60%|2.83
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|14.60%|1.00
https://images.ygoprodeck.com/images/cards/26202165.jpg|Sangan|12.20%|3.00
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|12.20%|2.60
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|12.20%|2.40
https://images.ygoprodeck.com/images/cards/76145933.jpg|Spright Blue|12.20%|2.20
https://images.ygoprodeck.com/images/cards/13533678.jpg|Spright Jet|12.20%|2.20
https://images.ygoprodeck.com/images/cards/91646304.jpg|Crusadia Arboria|12.20%|1.00
https://images.ygoprodeck.com/images/cards/75922381.jpg|Spright Red|12.20%|1.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|12.20%|2.80
https://images.ygoprodeck.com/images/cards/15443125.jpg|Spright Starter|12.20%|2.60
https://images.ygoprodeck.com/images/cards/62265044.jpg|Dragon Ravine|12.20%|1.00
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|9.80%|3.00
https://images.ygoprodeck.com/images/cards/10028593.jpg|Reborn Tengu|9.80%|3.00
https://images.ygoprodeck.com/images/cards/37961969.jpg|Tearlaments Havnis|9.80%|3.00
https://images.ygoprodeck.com/images/cards/74078255.jpg|Tearlaments Merrli|9.80%|2.50
https://images.ygoprodeck.com/images/cards/68464358.jpg|Rokket Tracer|9.80%|2.00
https://images.ygoprodeck.com/images/cards/33420078.jpg|Plaguespreader Zombie|9.80%|1.50
https://images.ygoprodeck.com/images/cards/67748760.jpg|Absorouter Dragon|9.80%|1.00
https://images.ygoprodeck.com/images/cards/61901281.jpg|Black Dragon Collapserpent|9.80%|1.00
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|9.80%|1.00
https://images.ygoprodeck.com/images/cards/5969957.jpg|Rokket Recharger|9.80%|1.00
https://images.ygoprodeck.com/images/cards/48355999.jpg|Rokket Synchron|9.80%|1.00
https://images.ygoprodeck.com/images/cards/2311090.jpg|Spright Carrot|9.80%|1.00
https://images.ygoprodeck.com/images/cards/99234526.jpg|White Dragon Wyverburster|9.80%|1.00
https://images.ygoprodeck.com/images/cards/99266988.jpg|Chaos Space|9.80%|3.00
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|9.80%|3.00
https://images.ygoprodeck.com/images/cards/31443476.jpg|Quick Launch|9.80%|3.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|9.80%|2.75
https://images.ygoprodeck.com/images/cards/77103950.jpg|Primeval Planet Perlereino|9.80%|2.75
https://images.ygoprodeck.com/images/cards/96363153.jpg|Tuning|9.80%|2.50
https://images.ygoprodeck.com/images/cards/36668118.jpg|Boot Sector Launch|9.80%|1.00
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|9.80%|1.00
https://images.ygoprodeck.com/images/cards/1845204.jpg|Instant Fusion|9.80%|1.00
https://images.ygoprodeck.com/images/cards/9126351.jpg|Swap Frog|7.30%|3.00
https://images.ygoprodeck.com/images/cards/70711847.jpg|Danger! Nessie!|7.30%|2.67
https://images.ygoprodeck.com/images/cards/73956664.jpg|Tearlaments Reinoheart|7.30%|2.67
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|7.30%|2.33
https://images.ygoprodeck.com/images/cards/95440946.jpg|Eldlich the Golden Lord|7.30%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|7.30%|2.00
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|7.30%|1.67
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|7.30%|1.67
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|7.30%|1.67
https://images.ygoprodeck.com/images/cards/43694650.jpg|Danger!? Jackalope?|7.30%|1.00
https://images.ygoprodeck.com/images/cards/11335209.jpg|Duamutef, Blessing of Horus|7.30%|1.00
https://images.ygoprodeck.com/images/cards/78922939.jpg|Junk Servant|7.30%|1.00
https://images.ygoprodeck.com/images/cards/74725513.jpg|Qebehsenuef, Protection of Horus|7.30%|1.00
https://images.ygoprodeck.com/images/cards/1357146.jpg|Ronintoadin|7.30%|1.00
https://images.ygoprodeck.com/images/cards/44362883.jpg|Branded Fusion|7.30%|3.00
https://images.ygoprodeck.com/images/cards/31434645.jpg|Cursed Eldland|7.30%|2.67
https://images.ygoprodeck.com/images/cards/84792926.jpg|Therion Discolosseum|7.30%|2.00
https://images.ygoprodeck.com/images/cards/88836438.jpg|Spright Smashers|7.30%|1.00
https://images.ygoprodeck.com/images/cards/20590515.jpg|Conquistador of the Golden Land|7.30%|3.00
https://images.ygoprodeck.com/images/cards/20612097.jpg|Eldlixir of Scarlet Sanguine|7.30%|3.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|7.30%|2.67
https://images.ygoprodeck.com/images/cards/74920585.jpg|Tearlaments Sulliek|7.30%|2.33
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|4.90%|3.00
https://images.ygoprodeck.com/images/cards/21893603.jpg|Lee the World Chalice Fairy|4.90%|3.00
https://images.ygoprodeck.com/images/cards/68353324.jpg|Nimble Beaver|4.90%|3.00
https://images.ygoprodeck.com/images/cards/57288708.jpg|"World Legacy - ""World Chalice"""|4.90%|3.00
https://images.ygoprodeck.com/images/cards/77411244.jpg|B-Buster Drake|4.90%|2.50
https://images.ygoprodeck.com/images/cards/30012506.jpg|A-Assault Core|4.90%|2.00
https://images.ygoprodeck.com/images/cards/3405259.jpg|C-Crush Wyvern|4.90%|2.00
https://images.ygoprodeck.com/images/cards/88686573.jpg|Nimble Angler|4.90%|2.00
https://images.ygoprodeck.com/images/cards/81914447.jpg|Noh-P.U.N.K. Ogre Dance|4.90%|2.00
https://images.ygoprodeck.com/images/cards/30765615.jpg|Ringowurm, the Dragon Guarding the Hundred Apples|4.90%|2.00
https://images.ygoprodeck.com/images/cards/22916281.jpg|Chosen by the World Chalice|4.90%|1.50
https://images.ygoprodeck.com/images/cards/84899094.jpg|World Chalice Guardragon|4.90%|1.50
https://images.ygoprodeck.com/images/cards/25451383.jpg|Albion the Shrouded Dragon|4.90%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|4.90%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|4.90%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|4.90%|1.00
https://images.ygoprodeck.com/images/cards/43316238.jpg|Danger! Bigfoot!|4.90%|1.00
https://images.ygoprodeck.com/images/cards/99745551.jpg|Danger!? Tsuchinoko?|4.90%|1.00
https://images.ygoprodeck.com/images/cards/21615956.jpg|Flamvell Guard|4.90%|1.00
https://images.ygoprodeck.com/images/cards/54537489.jpg|Mare Mare|4.90%|1.00
https://images.ygoprodeck.com/images/cards/99249638.jpg|Union Driver|4.90%|1.00
https://images.ygoprodeck.com/images/cards/911883.jpg|Unexpected Dai|4.90%|3.00
https://images.ygoprodeck.com/images/cards/66399653.jpg|Union Hangar|4.90%|3.00
https://images.ygoprodeck.com/images/cards/29948294.jpg|Branded in High Spirits|4.90%|2.50
https://images.ygoprodeck.com/images/cards/31006879.jpg|On Your Mark, Get Set, DUEL!|4.90%|2.50
https://images.ygoprodeck.com/images/cards/57103969.jpg|Fire Formation - Tenki|4.90%|2.00
https://images.ygoprodeck.com/images/cards/76375976.jpg|Mystic Mine|4.90%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|4.90%|2.00
https://images.ygoprodeck.com/images/cards/96729612.jpg|Preparation of Rites|4.90%|1.00
https://images.ygoprodeck.com/images/cards/73468603.jpg|Set Rotation|4.90%|1.00
https://images.ygoprodeck.com/images/cards/88901994.jpg|Synchro Rumble|4.90%|1.00
https://images.ygoprodeck.com/images/cards/99674361.jpg|World Legacy Succession|4.90%|1.00
https://images.ygoprodeck.com/images/cards/93191801.jpg|Huaquero of the Golden Land|4.90%|2.00
https://images.ygoprodeck.com/images/cards/55349375.jpg|Bluebeard, the Plunder Patroll Shipwright|2.40%|3.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|2.40%|3.00
https://images.ygoprodeck.com/images/cards/15981690.jpg|Carboneddon|2.40%|3.00
https://images.ygoprodeck.com/images/cards/645087.jpg|Cyberse Gadget|2.40%|3.00
https://images.ygoprodeck.com/images/cards/81344070.jpg|Goldenhair, the Newest Plunder Patroll|2.40%|3.00
https://images.ygoprodeck.com/images/cards/92826944.jpg|Mezuki|2.40%|3.00
https://images.ygoprodeck.com/images/cards/26077387.jpg|Sky Striker Ace - Raye|2.40%|3.00
https://images.ygoprodeck.com/images/cards/27520594.jpg|Sunseed Genius Loci|2.40%|3.00
https://images.ygoprodeck.com/images/cards/83334932.jpg|Superheavy Samurai Motorbike|2.40%|3.00
https://images.ygoprodeck.com/images/cards/82112494.jpg|Superheavy Samurai Prodigy Wakaushi|2.40%|3.00
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|2.40%|3.00
https://images.ygoprodeck.com/images/cards/83610035.jpg|"Therion ""Lily"" Borea"|2.40%|3.00
https://images.ygoprodeck.com/images/cards/56099748.jpg|Visas Starfrost|2.40%|3.00
https://images.ygoprodeck.com/images/cards/98396890.jpg|Vision Resonator|2.40%|3.00
