image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|55.60%|1.00
https://images.ygoprodeck.com/images/cards/30983281.jpg|Accel Synchro Stardust Dragon|44.40%|1.00
https://images.ygoprodeck.com/images/cards/37675907.jpg|Accel Synchron|44.40%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|44.40%|1.00
https://images.ygoprodeck.com/images/cards/27572350.jpg|Bystial Dis Pater|44.40%|1.00
https://images.ygoprodeck.com/images/cards/50954680.jpg|Crystal Wing Synchro Dragon|44.40%|1.00
https://images.ygoprodeck.com/images/cards/77075360.jpg|Junk Speeder|44.40%|1.00
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|44.40%|1.00
https://images.ygoprodeck.com/images/cards/64880894.jpg|Stardust Charge Warrior|44.40%|1.00
https://images.ygoprodeck.com/images/cards/44508094.jpg|Stardust Dragon|44.40%|1.00
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|33.30%|1.00
https://images.ygoprodeck.com/images/cards/63436931.jpg|Crimson Dragon|33.30%|1.00
https://images.ygoprodeck.com/images/cards/33158448.jpg|F.A. Dawn Dragster|33.30%|1.00
https://images.ygoprodeck.com/images/cards/79606837.jpg|Herald of the Arc Light|33.30%|1.00
https://images.ygoprodeck.com/images/cards/98978921.jpg|Link Spider|33.30%|1.00
https://images.ygoprodeck.com/images/cards/31226177.jpg|Imduk the World Chalice Dragon|22.20%|1.50
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|22.20%|1.00
https://images.ygoprodeck.com/images/cards/34755994.jpg|Artemis, the Magistus Moon Maiden|22.20%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|22.20%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|22.20%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|22.20%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|22.20%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|22.20%|1.00
https://images.ygoprodeck.com/images/cards/94677445.jpg|Ib the World Chalice Justiciar|22.20%|1.00
https://images.ygoprodeck.com/images/cards/286392.jpg|Jet Warrior|22.20%|1.00
https://images.ygoprodeck.com/images/cards/39752820.jpg|Lib the World Key Blademaster|22.20%|1.00
https://images.ygoprodeck.com/images/cards/9839945.jpg|Lyna the Light Charmer, Lustrous|22.20%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|22.20%|1.00
https://images.ygoprodeck.com/images/cards/87188910.jpg|Ravenous Crocodragon Archethys|22.20%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|22.20%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|22.20%|1.00
https://images.ygoprodeck.com/images/cards/1528054.jpg|Silhouhatte Rabbit|22.20%|1.00
https://images.ygoprodeck.com/images/cards/96633955.jpg|Swordsoul Supreme Sovereign - Chengying|22.20%|1.00
https://images.ygoprodeck.com/images/cards/90953320.jpg|T.G. Hyper Librarian|22.20%|1.00
https://images.ygoprodeck.com/images/cards/52687916.jpg|Trishula, Dragon of the Ice Barrier|22.20%|1.00
https://images.ygoprodeck.com/images/cards/46396218.jpg|Azamina Ilia Silvia|22.20%|1.00
https://images.ygoprodeck.com/images/cards/73391962.jpg|Azamina Mu Rcielago|22.20%|1.00
