image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|66.70%|2.67
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|66.70%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|55.60%|2.40
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|44.40%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|44.40%|2.50
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|44.40%|2.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|33.30%|1.67
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|33.30%|1.67
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|33.30%|1.33
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|22.20%|3.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|22.20%|2.50
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|22.20%|2.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|22.20%|2.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|22.20%|1.50
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|22.20%|1.00
https://images.ygoprodeck.com/images/cards/72329844.jpg|Spright Sprind|22.20%|1.00
https://images.ygoprodeck.com/images/cards/69750546.jpg|Volcanic Scattershot|22.20%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|22.20%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|22.20%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|11.10%|3.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|11.10%|3.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|11.10%|2.00
https://images.ygoprodeck.com/images/cards/30741334.jpg|Coach King Giantrainer|11.10%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|11.10%|1.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|11.10%|1.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|11.10%|1.00
https://images.ygoprodeck.com/images/cards/80666118.jpg|Scarlight Red Dragon Archfiend|11.10%|1.00
https://images.ygoprodeck.com/images/cards/14087893.jpg|Book of Moon|11.10%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|11.10%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|11.10%|1.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|11.10%|1.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|11.10%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|11.10%|3.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|11.10%|2.00
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|11.10%|1.00
https://images.ygoprodeck.com/images/cards/85763457.jpg|World Legacy's Sorrow|11.10%|1.00
