image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|61.30%|2.68
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|54.80%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|45.20%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|38.70%|2.42
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|38.70%|2.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|35.50%|1.91
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|35.50%|1.36
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|32.30%|2.50
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|19.40%|1.83
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|19.40%|1.17
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|19.40%|1.17
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|19.40%|1.17
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|16.10%|2.80
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|16.10%|1.80
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|16.10%|1.20
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|16.10%|1.00
https://images.ygoprodeck.com/images/cards/4227096.jpg|Mistaken Arrest|12.90%|2.75
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|12.90%|2.75
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|12.90%|2.25
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|9.70%|2.67
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|9.70%|2.67
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|9.70%|2.67
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|9.70%|2.33
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|9.70%|2.00
