image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|65.40%|1.00
https://images.ygoprodeck.com/images/cards/66011101.jpg|Number 60: Dugares the Timeless|57.70%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|57.70%|1.00
https://images.ygoprodeck.com/images/cards/39552584.jpg|Grapha, Dragon Overlord of Dark World|53.80%|2.00
https://images.ygoprodeck.com/images/cards/74997493.jpg|Saryuja Skull Dread|50.00%|1.08
https://images.ygoprodeck.com/images/cards/71607202.jpg|Muckraker From the Underworld|46.20%|1.08
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|46.20%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|46.20%|1.00
https://images.ygoprodeck.com/images/cards/75452921.jpg|Knightmare Cerberus|42.30%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|42.30%|1.00
https://images.ygoprodeck.com/images/cards/28776350.jpg|Akashic Magician|42.30%|1.00
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|38.50%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|34.60%|1.00
https://images.ygoprodeck.com/images/cards/99111753.jpg|Security Dragon|30.80%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|30.80%|1.00
https://images.ygoprodeck.com/images/cards/50277355.jpg|Cross-Sheep|30.80%|1.00
https://images.ygoprodeck.com/images/cards/30741334.jpg|Coach King Giantrainer|30.80%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|26.90%|1.00
https://images.ygoprodeck.com/images/cards/65330383.jpg|Knightmare Gryphon|26.90%|1.00
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|26.90%|1.00
https://images.ygoprodeck.com/images/cards/92731385.jpg|Tearlaments Kitkallos|19.20%|1.80
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|19.20%|1.00
https://images.ygoprodeck.com/images/cards/28226490.jpg|Tearlaments Kaleido-Heart|19.20%|1.00
https://images.ygoprodeck.com/images/cards/27381364.jpg|Spright Elf|19.20%|1.00
https://images.ygoprodeck.com/images/cards/69946549.jpg|Predaplant Dragostapelia|19.20%|1.00
https://images.ygoprodeck.com/images/cards/63767246.jpg|Number 38: Hope Harbinger Dragon Titanic Galaxy|19.20%|1.00
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|19.20%|1.00
