image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|55.60%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|44.40%|3.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|44.40%|2.50
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|44.40%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|44.40%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|44.40%|1.50
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|33.30%|3.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|33.30%|2.67
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|33.30%|2.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|33.30%|1.67
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|33.30%|1.33
https://images.ygoprodeck.com/images/cards/30284022.jpg|Dark World Puppetry|22.20%|3.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|22.20%|2.00
https://images.ygoprodeck.com/images/cards/43455065.jpg|Magical Spring|22.20%|1.50
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|22.20%|1.50
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|22.20%|1.50
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|22.20%|1.50
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|22.20%|1.00
https://images.ygoprodeck.com/images/cards/12014404.jpg|Gagaga Cowboy|22.20%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|22.20%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|22.20%|1.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|11.10%|3.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|11.10%|3.00
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|11.10%|3.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|11.10%|3.00
https://images.ygoprodeck.com/images/cards/88369727.jpg|Foolish Return|11.10%|2.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|11.10%|1.00
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|11.10%|1.00
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|11.10%|1.00
https://images.ygoprodeck.com/images/cards/60508057.jpg|Raidraptor - Napalm Dragonius|11.10%|1.00
https://images.ygoprodeck.com/images/cards/28674152.jpg|Radian, the Multidimensional Kaiju|11.10%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|11.10%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|11.10%|1.00
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|11.10%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|11.10%|1.00
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|11.10%|1.00
