image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|2.97
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|100.00%|2.85
https://images.ygoprodeck.com/images/cards/89631139.jpg|Blue-Eyes White Dragon|100.00%|2.00
https://images.ygoprodeck.com/images/cards/80326401.jpg|Wishes for Eyes of Blue|100.00%|2.64
https://images.ygoprodeck.com/images/cards/17725109.jpg|Roar of the Blue-Eyed Dragons|100.00%|1.15
https://images.ygoprodeck.com/images/cards/24382602.jpg|Mausoleum of White|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|3.00
https://images.ygoprodeck.com/images/cards/62089826.jpg|True Light|100.00%|1.00
https://images.ygoprodeck.com/images/cards/17947697.jpg|Maiden of White|100.00%|2.97
https://images.ygoprodeck.com/images/cards/63198739.jpg|Primite Dragon Ether Beryl|97.00%|3.00
https://images.ygoprodeck.com/images/cards/8240199.jpg|Sage with Eyes of Blue|97.00%|2.94
https://images.ygoprodeck.com/images/cards/56506740.jpg|Primite Lordly Lode|97.00%|3.00
https://images.ygoprodeck.com/images/cards/29095457.jpg|Primite Drillbeam|97.00%|1.12
https://images.ygoprodeck.com/images/cards/43219114.jpg|Majesty of the White Dragons|90.90%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|69.70%|2.61
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|69.70%|1.00
https://images.ygoprodeck.com/images/cards/97045737.jpg|Dominus Purge|66.70%|2.59
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|57.60%|2.68
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|54.50%|1.83
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|42.40%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|39.40%|2.15
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|33.30%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|24.20%|1.12
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|24.20%|2.75
https://images.ygoprodeck.com/images/cards/54332792.jpg|Neo Kaiser Sea Horse|24.20%|1.25
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|15.20%|2.60
https://images.ygoprodeck.com/images/cards/30576089.jpg|Blue-Eyes Jet Dragon|12.10%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|12.10%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|9.10%|1.00
https://images.ygoprodeck.com/images/cards/71143015.jpg|Ultimate Fusion|9.10%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|6.10%|2.00
https://images.ygoprodeck.com/images/cards/45644898.jpg|Master with Eyes of Blue|6.10%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|6.10%|3.00
https://images.ygoprodeck.com/images/cards/49823708.jpg|Buster Whelp of the Destruction Swordsman|3.00%|2.00
https://images.ygoprodeck.com/images/cards/78193831.jpg|Buster Blader|3.00%|1.00
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|3.00%|1.00
https://images.ygoprodeck.com/images/cards/91810826.jpg|Tenpai Dragon Chundra|3.00%|1.00
https://images.ygoprodeck.com/images/cards/65326118.jpg|Tenpai Dragon Fadra|3.00%|1.00
https://images.ygoprodeck.com/images/cards/23657016.jpg|Tenpai Dragon Genroku|3.00%|1.00
https://images.ygoprodeck.com/images/cards/39931513.jpg|Tenpai Dragon Paidra|3.00%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|3.00%|3.00
https://images.ygoprodeck.com/images/cards/92501449.jpg|Primite Roar|3.00%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|3.00%|2.00
https://images.ygoprodeck.com/images/cards/66730191.jpg|Sangen Kaimen|3.00%|1.00
https://images.ygoprodeck.com/images/cards/30336082.jpg|Sangen Summoning|3.00%|1.00
https://images.ygoprodeck.com/images/cards/88901994.jpg|Synchro Rumble|3.00%|1.00
https://images.ygoprodeck.com/images/cards/32104431.jpg|Destruction Sword Memories|3.00%|1.00
https://images.ygoprodeck.com/images/cards/27556460.jpg|Primite Scream|3.00%|1.00
https://images.ygoprodeck.com/images/cards/33280639.jpg|Prologue of the Destruction Swordsman|3.00%|1.00
https://images.ygoprodeck.com/images/cards/56920308.jpg|The Ultimate Creature of Destruction|3.00%|1.00
