image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|97.00%|2.84
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|93.90%|2.97
https://images.ygoprodeck.com/images/cards/23623653.jpg|Spiritual Beast Tamer Lara|84.80%|3.00
https://images.ygoprodeck.com/images/cards/88123329.jpg|Spiritual Beast Rampengu|84.80%|3.00
https://images.ygoprodeck.com/images/cards/49885567.jpg|Spiritual Beast Cannahawk|84.80%|3.00
https://images.ygoprodeck.com/images/cards/14513016.jpg|Ritual Beast Tamer Elder|84.80%|3.00
https://images.ygoprodeck.com/images/cards/67723438.jpg|Emergency Teleport|84.80%|2.96
https://images.ygoprodeck.com/images/cards/22501005.jpg|Ritual Beast Inheritance|84.80%|2.46
https://images.ygoprodeck.com/images/cards/65193366.jpg|Spiritual Beast Tamer Winda|84.80%|1.00
https://images.ygoprodeck.com/images/cards/86396750.jpg|Spiritual Beast Apelio|84.80%|1.00
https://images.ygoprodeck.com/images/cards/40907115.jpg|Ritual Beast Tamer Wen|84.80%|1.00
https://images.ygoprodeck.com/images/cards/87118301.jpg|Ritual Beast Tamer Lara|84.80%|1.00
https://images.ygoprodeck.com/images/cards/11556339.jpg|Ritual Beast Steeds|84.80%|1.00
https://images.ygoprodeck.com/images/cards/19211362.jpg|Nemeses Flag|84.80%|1.00
https://images.ygoprodeck.com/images/cards/6728559.jpg|Archnemeses Protos|84.80%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|72.70%|2.08
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|63.60%|2.81
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|63.60%|2.76
https://images.ygoprodeck.com/images/cards/13890468.jpg|Spiritual Beast Pettlephin|54.50%|1.00
https://images.ygoprodeck.com/images/cards/72090076.jpg|Nemeses Corridor|54.50%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|39.40%|2.92
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|39.40%|1.77
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|36.40%|3.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|27.30%|1.00
https://images.ygoprodeck.com/images/cards/57777714.jpg|Ritual Beast Tamer Zeframpilica|15.20%|1.00
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|6.10%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|6.10%|3.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|6.10%|3.00
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|6.10%|3.00
https://images.ygoprodeck.com/images/cards/31149212.jpg|Kashtira Riseheart|6.10%|3.00
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|6.10%|3.00
https://images.ygoprodeck.com/images/cards/34447918.jpg|Kashtiratheosis|6.10%|2.50
