image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/62962630.jpg|Aluber the Jester of Despia|100.00%|2.97
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|100.00%|2.39
https://images.ygoprodeck.com/images/cards/36637374.jpg|Branded Opening|100.00%|1.03
https://images.ygoprodeck.com/images/cards/44362883.jpg|Branded Fusion|100.00%|1.00
https://images.ygoprodeck.com/images/cards/95515789.jpg|Blazing Cartesia, the Virtuous|99.10%|1.76
https://images.ygoprodeck.com/images/cards/45883110.jpg|Guiding Quem, the Virtuous|99.10%|1.10
https://images.ygoprodeck.com/images/cards/17751597.jpg|Branded Retribution|99.10%|1.40
https://images.ygoprodeck.com/images/cards/25451383.jpg|Albion the Shrouded Dragon|98.30%|1.67
https://images.ygoprodeck.com/images/cards/6498706.jpg|Fusion Deployment|98.30%|2.88
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|97.40%|1.96
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|97.40%|1.99
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|96.50%|2.96
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|96.50%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|93.00%|2.99
https://images.ygoprodeck.com/images/cards/45484331.jpg|Springans Kitt|93.00%|1.35
https://images.ygoprodeck.com/images/cards/18973184.jpg|Branded Lost|93.00%|1.01
https://images.ygoprodeck.com/images/cards/82738008.jpg|Branded in Red|92.20%|1.02
https://images.ygoprodeck.com/images/cards/36577931.jpg|Despian Tragedy|89.60%|1.02
https://images.ygoprodeck.com/images/cards/19096726.jpg|Tri-Brigade Mercourier|88.70%|1.12
https://images.ygoprodeck.com/images/cards/29948294.jpg|Branded in High Spirits|85.20%|1.91
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|83.50%|1.00
https://images.ygoprodeck.com/images/cards/1041278.jpg|Branded Expulsion|80.90%|1.00
https://images.ygoprodeck.com/images/cards/75500286.jpg|Gold Sarcophagus|80.00%|1.04
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|76.50%|2.54
https://images.ygoprodeck.com/images/cards/1984618.jpg|Nadir Servant|73.90%|2.87
https://images.ygoprodeck.com/images/cards/34995106.jpg|Branded in White|68.70%|1.04
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|68.70%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|49.60%|1.00
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|47.00%|2.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|46.10%|1.66
https://images.ygoprodeck.com/images/cards/55204071.jpg|Gimmick Puppet Nightmare|45.20%|1.00
https://images.ygoprodeck.com/images/cards/81767888.jpg|Branded Sword|36.50%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|34.80%|1.90
https://images.ygoprodeck.com/images/cards/32756828.jpg|Branded Beast|34.80%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|23.50%|1.22
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|22.60%|1.81
https://images.ygoprodeck.com/images/cards/82489470.jpg|The Golden Swordsoul|22.60%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|20.00%|1.22
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|16.50%|2.21
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|14.80%|1.00
https://images.ygoprodeck.com/images/cards/95679145.jpg|Dogmatika Maximus|13.90%|1.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|13.90%|1.94
https://images.ygoprodeck.com/images/cards/48048590.jpg|Keeper of Dragon Magic|11.30%|1.31
https://images.ygoprodeck.com/images/cards/1475311.jpg|Allure of Darkness|11.30%|2.23
https://images.ygoprodeck.com/images/cards/43331750.jpg|Fusion Duplication|11.30%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|10.40%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|9.60%|1.54
https://images.ygoprodeck.com/images/cards/55273560.jpg|Incredible Ecclesia, the Virtuous|8.70%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|8.70%|2.60
https://images.ygoprodeck.com/images/cards/69680031.jpg|Dogmatika Fleurdelis, the Knighted|7.80%|1.00
https://images.ygoprodeck.com/images/cards/19271881.jpg|Brightest, Blazing, Branded King|7.80%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|7.00%|2.38
https://images.ygoprodeck.com/images/cards/6763530.jpg|Branded Banishment|7.00%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|6.10%|1.00
https://images.ygoprodeck.com/images/cards/3717252.jpg|Shaddoll Beast|6.10%|1.00
https://images.ygoprodeck.com/images/cards/24094653.jpg|Polymerization|5.20%|1.33
https://images.ygoprodeck.com/images/cards/79109599.jpg|King of the Swamp|4.30%|2.40
https://images.ygoprodeck.com/images/cards/81555617.jpg|Ad Libitum of Despia|4.30%|1.00
https://images.ygoprodeck.com/images/cards/90179822.jpg|Despian Comedy|4.30%|1.00
https://images.ygoprodeck.com/images/cards/55623480.jpg|Fairy Tail - Snow|4.30%|1.00
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|4.30%|1.00
https://images.ygoprodeck.com/images/cards/99543666.jpg|Despia, Theater of the Branded|4.30%|1.00
https://images.ygoprodeck.com/images/cards/77103950.jpg|Primeval Planet Perlereino|4.30%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|4.30%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|4.30%|3.00
https://images.ygoprodeck.com/images/cards/77723643.jpg|Shaddoll Dragon|3.50%|1.00
https://images.ygoprodeck.com/images/cards/37961969.jpg|Tearlaments Havnis|3.50%|1.00
https://images.ygoprodeck.com/images/cards/74078255.jpg|Tearlaments Merrli|3.50%|1.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|3.50%|1.00
https://images.ygoprodeck.com/images/cards/21011044.jpg|Shaddoll Schism|3.50%|1.00
https://images.ygoprodeck.com/images/cards/60303688.jpg|Dogmatika Ecclesia, the Virtuous|2.60%|1.00
https://images.ygoprodeck.com/images/cards/61173621.jpg|Edge Imp Chain|1.70%|2.00
https://images.ygoprodeck.com/images/cards/67750322.jpg|Skull Meister|1.70%|2.00
https://images.ygoprodeck.com/images/cards/37683547.jpg|Albaz the Ashen|1.70%|1.00
https://images.ygoprodeck.com/images/cards/25592142.jpg|Astellar of the White Forest|1.70%|1.00
https://images.ygoprodeck.com/images/cards/24226942.jpg|Chaos Nephthys|1.70%|1.00
https://images.ygoprodeck.com/images/cards/36553319.jpg|Farfa, Malebranche of the Burning Abyss|1.70%|1.00
https://images.ygoprodeck.com/images/cards/35984222.jpg|Ido the Supreme Magical Force|1.70%|1.00
https://images.ygoprodeck.com/images/cards/90829280.jpg|Spirit of Yubel|1.70%|1.00
https://images.ygoprodeck.com/images/cards/78371393.jpg|Yubel|1.70%|1.00
