image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/87746184.jpg|Albion the Branded Dragon|100.00%|2.00
https://images.ygoprodeck.com/images/cards/44146295.jpg|Mirrorjade the Iceblade Dragon|100.00%|2.00
https://images.ygoprodeck.com/images/cards/38811586.jpg|Albion the Sanctifire Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/92892239.jpg|Borreload Furious Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/72272462.jpg|Despian Quaeritis|100.00%|1.00
https://images.ygoprodeck.com/images/cards/24915933.jpg|Granguignol the Dusk Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/11321089.jpg|Guardian Chimera|100.00%|1.00
https://images.ygoprodeck.com/images/cards/72578374.jpg|Khaos Starsource Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/70534340.jpg|Lubellion the Searing Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/69946549.jpg|Predaplant Dragostapelia|100.00%|1.00
https://images.ygoprodeck.com/images/cards/51409648.jpg|Rindbrumm the Striking Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/1906812.jpg|Sprind the Irondash Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/41373230.jpg|Titaniklad the Ash Dragon|100.00%|1.00
