image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|75.00%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|67.90%|2.32
https://images.ygoprodeck.com/images/cards/43331750.jpg|Fusion Duplication|57.10%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|53.60%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|50.00%|1.64
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|50.00%|1.71
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|50.00%|2.29
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|35.70%|2.10
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|32.10%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|28.60%|2.12
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|28.60%|2.25
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|28.60%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|21.40%|1.50
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|21.40%|2.17
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|17.90%|2.60
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|17.90%|1.60
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|17.90%|1.00
https://images.ygoprodeck.com/images/cards/35984222.jpg|Ido the Supreme Magical Force|17.90%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|14.30%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|14.30%|1.50
https://images.ygoprodeck.com/images/cards/19271881.jpg|Brightest, Blazing, Branded King|14.30%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|10.70%|2.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|10.70%|1.00
https://images.ygoprodeck.com/images/cards/55204071.jpg|Gimmick Puppet Nightmare|10.70%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|10.70%|1.33
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|10.70%|1.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|7.10%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|7.10%|2.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|7.10%|2.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|7.10%|2.00
https://images.ygoprodeck.com/images/cards/53493204.jpg|Goddess with the Third Eye|7.10%|1.00
https://images.ygoprodeck.com/images/cards/6855503.jpg|Masquerade the Blazing Dragon|7.10%|1.00
https://images.ygoprodeck.com/images/cards/97518132.jpg|Naelshaddoll Ariel|7.10%|1.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|7.10%|2.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|7.10%|2.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|7.10%|1.50
https://images.ygoprodeck.com/images/cards/68462976.jpg|Secret Village of the Spellcasters|7.10%|1.00
https://images.ygoprodeck.com/images/cards/14883228.jpg|Typhoon|7.10%|3.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|7.10%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|3.60%|2.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|3.60%|2.00
https://images.ygoprodeck.com/images/cards/89631139.jpg|Blue-Eyes White Dragon|3.60%|1.00
https://images.ygoprodeck.com/images/cards/24226942.jpg|Chaos Nephthys|3.60%|1.00
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|3.60%|1.00
https://images.ygoprodeck.com/images/cards/86239173.jpg|Horned Saurus|3.60%|1.00
https://images.ygoprodeck.com/images/cards/55273560.jpg|Incredible Ecclesia, the Virtuous|3.60%|1.00
https://images.ygoprodeck.com/images/cards/41855169.jpg|Jowgen the Spiritualist|3.60%|1.00
https://images.ygoprodeck.com/images/cards/19619755.jpg|Performapal Five-Rainbow Magician|3.60%|1.00
https://images.ygoprodeck.com/images/cards/5141117.jpg|The Abyss Dragon Swordsoul|3.60%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|3.60%|3.00
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|3.60%|3.00
https://images.ygoprodeck.com/images/cards/18973184.jpg|Branded Lost|3.60%|2.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|3.60%|2.00
https://images.ygoprodeck.com/images/cards/1984618.jpg|Nadir Servant|3.60%|2.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|3.60%|2.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|3.60%|1.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|3.60%|1.00
https://images.ygoprodeck.com/images/cards/12682213.jpg|Iron Thunder|3.60%|3.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|3.60%|2.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|3.60%|2.00
https://images.ygoprodeck.com/images/cards/92512625.jpg|Solemn Scolding|3.60%|2.00
https://images.ygoprodeck.com/images/cards/45675980.jpg|Etude of the Branded|3.60%|1.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|3.60%|1.00
