image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|62.50%|2.61
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|49.00%|2.91
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|48.10%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|38.60%|1.54
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|32.60%|2.58
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|29.10%|2.74
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|28.00%|2.15
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|25.90%|2.76
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|21.60%|1.04
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|19.30%|1.10
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|19.00%|1.01
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|19.00%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|17.00%|2.17
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|15.90%|1.93
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|15.00%|2.44
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|15.00%|2.17
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|14.70%|2.63
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|14.10%|1.65
https://images.ygoprodeck.com/images/cards/91706817.jpg|Angel of Blue Tears|12.70%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|12.40%|2.63
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|11.80%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|11.50%|2.62
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|11.20%|2.59
https://images.ygoprodeck.com/images/cards/12435193.jpg|Koa'ki Meiru Drago|10.70%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|9.50%|1.24
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|8.60%|1.00
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|7.80%|2.59
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|7.80%|1.07
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|7.50%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|7.20%|1.12
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|7.20%|1.04
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|6.90%|2.54
https://images.ygoprodeck.com/images/cards/93084621.jpg|Unchained Soul of Anguish|6.60%|1.00
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|6.60%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|6.30%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|6.10%|2.10
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|6.10%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|5.80%|2.05
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|5.50%|1.37
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|5.50%|1.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|5.20%|2.22
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|5.20%|1.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|4.90%|2.35
https://images.ygoprodeck.com/images/cards/57624336.jpg|Archfiend Eccentrick|4.90%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|4.00%|2.64
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|3.70%|2.69
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|3.70%|1.46
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|3.50%|2.33
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|3.50%|1.00
https://images.ygoprodeck.com/images/cards/38495396.jpg|Constellar Ptolemy M7|3.20%|1.00
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|2.90%|2.90
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|2.90%|2.80
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|2.90%|2.50
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|2.90%|1.50
https://images.ygoprodeck.com/images/cards/40975574.jpg|Red Resonator|2.90%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|2.60%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|2.30%|2.12
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|2.30%|1.62
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|2.00%|2.29
https://images.ygoprodeck.com/images/cards/19254117.jpg|Rise to Full Height|2.00%|1.29
https://images.ygoprodeck.com/images/cards/98898163.jpg|Grandtusk Dragon|2.00%|1.00
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|2.00%|1.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|1.70%|2.33
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|1.70%|2.33
