image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|100.00%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|100.00%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|95.70%|2.64
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|95.70%|1.00
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|95.70%|1.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|91.30%|2.90
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|82.60%|2.95
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|82.60%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|56.50%|2.54
https://images.ygoprodeck.com/images/cards/77202120.jpg|Assault Synchron|52.20%|2.25
https://images.ygoprodeck.com/images/cards/30765615.jpg|Ringowurm, the Dragon Guarding the Hundred Apples|52.20%|1.08
https://images.ygoprodeck.com/images/cards/32756828.jpg|Branded Beast|52.20%|1.00
https://images.ygoprodeck.com/images/cards/29596581.jpg|Thunder Dragonroar|47.80%|2.46
https://images.ygoprodeck.com/images/cards/56713174.jpg|Thunder Dragondark|47.80%|2.27
https://images.ygoprodeck.com/images/cards/83107873.jpg|Thunder Dragonhawk|47.80%|1.09
https://images.ygoprodeck.com/images/cards/75500286.jpg|Gold Sarcophagus|47.80%|1.00
https://images.ygoprodeck.com/images/cards/55623480.jpg|Fairy Tail - Snow|39.10%|2.56
https://images.ygoprodeck.com/images/cards/62320425.jpg|Agido the Ancient Sentinel|39.10%|1.00
https://images.ygoprodeck.com/images/cards/25926710.jpg|Kelbek the Ancient Vanguard|39.10%|1.00
https://images.ygoprodeck.com/images/cards/90020780.jpg|Shinobi Necro|39.10%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|39.10%|2.22
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|39.10%|2.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|39.10%|1.00
https://images.ygoprodeck.com/images/cards/55920742.jpg|Noh-P.U.N.K. Foxy Tune|34.80%|2.88
https://images.ygoprodeck.com/images/cards/81914447.jpg|Noh-P.U.N.K. Ogre Dance|34.80%|2.88
https://images.ygoprodeck.com/images/cards/19535693.jpg|Noh-P.U.N.K. Ze Amin|34.80%|2.88
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|34.80%|2.50
https://images.ygoprodeck.com/images/cards/9742784.jpg|Jet Synchron|34.80%|1.00
https://images.ygoprodeck.com/images/cards/6609736.jpg|Noh-P.U.N.K. Deer Note|34.80%|1.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|34.80%|2.75
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|34.80%|2.00
https://images.ygoprodeck.com/images/cards/67723438.jpg|Emergency Teleport|34.80%|2.00
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|34.80%|1.00
https://images.ygoprodeck.com/images/cards/1475311.jpg|Allure of Darkness|30.40%|3.00
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|26.10%|3.00
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|26.10%|1.00
https://images.ygoprodeck.com/images/cards/99266988.jpg|Chaos Space|26.10%|2.50
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|26.10%|2.33
https://images.ygoprodeck.com/images/cards/82112494.jpg|Superheavy Samurai Prodigy Wakaushi|21.70%|3.00
https://images.ygoprodeck.com/images/cards/14391625.jpg|Visas Samsara|21.70%|2.80
https://images.ygoprodeck.com/images/cards/83334932.jpg|Superheavy Samurai Motorbike|21.70%|2.00
https://images.ygoprodeck.com/images/cards/82361809.jpg|Scareclaw Reichheart|21.70%|1.60
https://images.ygoprodeck.com/images/cards/99234526.jpg|White Dragon Wyverburster|21.70%|1.40
https://images.ygoprodeck.com/images/cards/61901281.jpg|Black Dragon Collapserpent|21.70%|1.20
https://images.ygoprodeck.com/images/cards/19510093.jpg|Superheavy Samurai Monk Big Benkei|21.70%|1.20
https://images.ygoprodeck.com/images/cards/56063182.jpg|Primitive Planet Reichphobia|21.70%|1.00
https://images.ygoprodeck.com/images/cards/83558891.jpg|Scareclaw Arrival|21.70%|1.00
https://images.ygoprodeck.com/images/cards/98396890.jpg|Vision Resonator|17.40%|2.25
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|17.40%|1.75
https://images.ygoprodeck.com/images/cards/11335209.jpg|Duamutef, Blessing of Horus|17.40%|1.00
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|17.40%|1.00
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|17.40%|1.00
