image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|100.00%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|64.70%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|64.70%|1.00
https://images.ygoprodeck.com/images/cards/93860227.jpg|Necroquip Princess|64.70%|1.00
https://images.ygoprodeck.com/images/cards/80453041.jpg|Phantom of Yubel|58.80%|1.90
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|58.80%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|58.80%|1.00
https://images.ygoprodeck.com/images/cards/24269961.jpg|Unchained Soul Lord of Yama|52.90%|1.33
https://images.ygoprodeck.com/images/cards/28143384.jpg|Aerial Eater|52.90%|1.00
https://images.ygoprodeck.com/images/cards/67680512.jpg|Unchained Soul of Rage|52.90%|1.00
https://images.ygoprodeck.com/images/cards/70636044.jpg|Varudras, the Final Bringer of the End Times|52.90%|1.00
https://images.ygoprodeck.com/images/cards/24361622.jpg|Hieratic Seal of the Heavenly Spheres|47.10%|1.50
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|47.10%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|41.20%|1.00
https://images.ygoprodeck.com/images/cards/73539069.jpg|Striker Dragon|41.20%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|35.30%|1.00
https://images.ygoprodeck.com/images/cards/71607202.jpg|Muckraker From the Underworld|35.30%|1.00
https://images.ygoprodeck.com/images/cards/27337596.jpg|Hieratic Dragon King of Atum|29.40%|1.00
https://images.ygoprodeck.com/images/cards/87746184.jpg|Albion the Branded Dragon|23.50%|1.00
https://images.ygoprodeck.com/images/cards/27572350.jpg|Bystial Dis Pater|23.50%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|23.50%|1.00
https://images.ygoprodeck.com/images/cards/13143275.jpg|Guardragon Pisty|23.50%|1.00
https://images.ygoprodeck.com/images/cards/44146295.jpg|Mirrorjade the Iceblade Dragon|23.50%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|17.60%|1.00
https://images.ygoprodeck.com/images/cards/4280259.jpg|Apollousa, Bow of the Goddess|17.60%|1.00
https://images.ygoprodeck.com/images/cards/92892239.jpg|Borreload Furious Dragon|17.60%|1.00
https://images.ygoprodeck.com/images/cards/46640168.jpg|Fiendsmith's Lacrima|17.60%|1.00
https://images.ygoprodeck.com/images/cards/70534340.jpg|Lubellion the Searing Dragon|17.60%|1.00
https://images.ygoprodeck.com/images/cards/63767246.jpg|Number 38: Hope Harbinger Dragon Titanic Galaxy|17.60%|1.00
https://images.ygoprodeck.com/images/cards/1528054.jpg|Silhouhatte Rabbit|17.60%|1.00
https://images.ygoprodeck.com/images/cards/11969228.jpg|Dragunity Knight - Romulus|11.80%|1.00
https://images.ygoprodeck.com/images/cards/35103106.jpg|Evolzar Lars|11.80%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|11.80%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|11.80%|1.00
https://images.ygoprodeck.com/images/cards/82570174.jpg|Sangenpai Bident Dragion|5.90%|2.00
https://images.ygoprodeck.com/images/cards/15291624.jpg|Thunder Dragon Colossus|5.90%|2.00
https://images.ygoprodeck.com/images/cards/3410461.jpg|Alba-Lenatus the Abyss Dragon|5.90%|1.00
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|5.90%|1.00
https://images.ygoprodeck.com/images/cards/73580471.jpg|Black Rose Dragon|5.90%|1.00
https://images.ygoprodeck.com/images/cards/38495396.jpg|Constellar Ptolemy M7|5.90%|1.00
https://images.ygoprodeck.com/images/cards/50277355.jpg|Cross-Sheep|5.90%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|5.90%|1.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|5.90%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|5.90%|1.00
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|5.90%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|5.90%|1.00
https://images.ygoprodeck.com/images/cards/87837090.jpg|Kuibelt the Blade Dragon|5.90%|1.00
https://images.ygoprodeck.com/images/cards/19652159.jpg|Light and Darkness Dragonlord|5.90%|1.00
https://images.ygoprodeck.com/images/cards/8165596.jpg|Number 90: Galaxy-Eyes Photon Lord|5.90%|1.00
https://images.ygoprodeck.com/images/cards/80696379.jpg|Odd-Eyes Meteorburst Dragon|5.90%|1.00
https://images.ygoprodeck.com/images/cards/2772337.jpg|Promethean Princess, Bestower of Flames|5.90%|1.00
https://images.ygoprodeck.com/images/cards/40139997.jpg|Ruddy Rose Dragon|5.90%|1.00
https://images.ygoprodeck.com/images/cards/40509732.jpg|Samurai Destroyer|5.90%|1.00
https://images.ygoprodeck.com/images/cards/18969888.jpg|Sangenpai Transcendent Dragion|5.90%|1.00
https://images.ygoprodeck.com/images/cards/74997493.jpg|Saryuja Skull Dread|5.90%|1.00
https://images.ygoprodeck.com/images/cards/73082255.jpg|The Zombie Vampire|5.90%|1.00
https://images.ygoprodeck.com/images/cards/10019086.jpg|Tri-Brigade Arms Bucephalus II|5.90%|1.00
https://images.ygoprodeck.com/images/cards/39402797.jpg|Trident Dragion|5.90%|1.00
https://images.ygoprodeck.com/images/cards/15661378.jpg|Trishula, the Dragon of Icy Imprisonment|5.90%|1.00
