image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|100.00%|2.15
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|100.00%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|96.90%|2.97
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|93.80%|1.69
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|90.80%|2.92
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|89.20%|2.88
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|86.20%|2.95
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|86.20%|1.12
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|84.60%|2.91
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|84.60%|1.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|84.60%|2.15
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|69.20%|1.60
https://images.ygoprodeck.com/images/cards/99989863.jpg|Fiendsmith in Paradise|64.60%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|63.10%|2.95
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|49.20%|2.88
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|44.60%|2.52
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|44.60%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|40.00%|2.35
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|40.00%|1.85
https://images.ygoprodeck.com/images/cards/39931513.jpg|Tenpai Dragon Paidra|35.40%|2.70
https://images.ygoprodeck.com/images/cards/23657016.jpg|Tenpai Dragon Genroku|35.40%|1.13
https://images.ygoprodeck.com/images/cards/91810826.jpg|Tenpai Dragon Chundra|35.40%|1.09
https://images.ygoprodeck.com/images/cards/65326118.jpg|Tenpai Dragon Fadra|35.40%|1.04
https://images.ygoprodeck.com/images/cards/66730191.jpg|Sangen Kaimen|35.40%|1.09
https://images.ygoprodeck.com/images/cards/30336082.jpg|Sangen Summoning|35.40%|1.09
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|20.00%|1.00
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|20.00%|1.00
https://images.ygoprodeck.com/images/cards/15381421.jpg|Starliege Seyfert|15.40%|2.80
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|15.40%|2.60
https://images.ygoprodeck.com/images/cards/61901281.jpg|Black Dragon Collapserpent|15.40%|1.00
https://images.ygoprodeck.com/images/cards/99234526.jpg|White Dragon Wyverburster|15.40%|1.00
https://images.ygoprodeck.com/images/cards/99266988.jpg|Chaos Space|15.40%|1.00
https://images.ygoprodeck.com/images/cards/62318994.jpg|Samsara D Lotus|13.80%|3.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|13.80%|2.44
https://images.ygoprodeck.com/images/cards/90829280.jpg|Spirit of Yubel|13.80%|2.00
https://images.ygoprodeck.com/images/cards/24215921.jpg|Gruesome Grave Squirmer|13.80%|1.44
https://images.ygoprodeck.com/images/cards/41165831.jpg|Unchained Soul of Sharvara|13.80%|1.00
https://images.ygoprodeck.com/images/cards/78371393.jpg|Yubel|13.80%|1.00
https://images.ygoprodeck.com/images/cards/93729896.jpg|Nightmare Throne|13.80%|3.00
https://images.ygoprodeck.com/images/cards/65261141.jpg|Nightmare Pain|13.80%|1.00
https://images.ygoprodeck.com/images/cards/81034083.jpg|Dark Beckoning Beast|10.80%|2.29
https://images.ygoprodeck.com/images/cards/80312545.jpg|Opening of the Spirit Gates|10.80%|1.86
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|10.80%|1.14
https://images.ygoprodeck.com/images/cards/93969023.jpg|Black Metal Dragon|9.20%|3.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|9.20%|2.83
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|9.20%|2.50
https://images.ygoprodeck.com/images/cards/88264978.jpg|Red-Eyes Darkness Metal Dragon|9.20%|1.00
https://images.ygoprodeck.com/images/cards/8633261.jpg|Ice Ryzeal|7.70%|3.00
https://images.ygoprodeck.com/images/cards/35844557.jpg|Sword Ryzeal|7.70%|2.40
https://images.ygoprodeck.com/images/cards/34022970.jpg|Ext Ryzeal|7.70%|2.20
https://images.ygoprodeck.com/images/cards/45005708.jpg|The Bystial Aluber|7.70%|1.00
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|7.70%|3.00
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|6.20%|2.25
https://images.ygoprodeck.com/images/cards/4538826.jpg|Chaos Emperor, the Dragon of Armageddon|6.20%|1.00
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|6.20%|1.00
