image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|83.90%|1.20
https://images.ygoprodeck.com/images/cards/41999284.jpg|Linkuriboh|47.80%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|47.30%|1.10
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|45.60%|1.01
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|44.50%|1.02
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|38.10%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|36.70%|1.00
https://images.ygoprodeck.com/images/cards/2772337.jpg|Promethean Princess, Bestower of Flames|33.20%|1.38
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|32.70%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|31.70%|1.00
https://images.ygoprodeck.com/images/cards/87871125.jpg|Salamangreat Sunlight Wolf|29.20%|1.11
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|28.90%|1.02
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|23.90%|1.00
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|21.20%|1.23
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|20.80%|1.00
https://images.ygoprodeck.com/images/cards/45112597.jpg|Worldsea Dragon Zealantis|19.10%|1.00
https://images.ygoprodeck.com/images/cards/61245672.jpg|Decode Talker Heatsoul|18.40%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|18.20%|1.01
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|17.40%|1.01
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|17.30%|1.07
https://images.ygoprodeck.com/images/cards/20665527.jpg|Amphibious Swarmship Amblowhale|17.30%|1.00
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|16.60%|1.01
https://images.ygoprodeck.com/images/cards/64182380.jpg|Garunix Eternity, Hyang of the Fire Kings|15.30%|1.05
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|14.90%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|14.10%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|13.10%|1.62
https://images.ygoprodeck.com/images/cards/48608796.jpg|Lyrilusc - Assembled Nightingale|12.90%|1.03
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|12.70%|1.05
https://images.ygoprodeck.com/images/cards/72167543.jpg|Downerd Magician|10.00%|1.01
