image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/23076639.jpg|Gazelle the King of Mythical Claws|100.00%|3.00
https://images.ygoprodeck.com/images/cards/63136489.jpg|Chimera Fusion|100.00%|3.00
https://images.ygoprodeck.com/images/cards/58143852.jpg|Nightmare Apprentice|100.00%|2.91
https://images.ygoprodeck.com/images/cards/92565383.jpg|Cornfield Coatl|100.00%|2.91
https://images.ygoprodeck.com/images/cards/28954097.jpg|Mirror Swordknight|100.00%|2.82
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|2.82
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|2.82
https://images.ygoprodeck.com/images/cards/55461744.jpg|Big-Winged Berfomet|100.00%|2.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|1.46
https://images.ygoprodeck.com/images/cards/34541543.jpg|Master Tao the Chanter|100.00%|1.00
https://images.ygoprodeck.com/images/cards/53765052.jpg|Diabellze the Original Sinkeeper|81.80%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|72.70%|1.75
https://images.ygoprodeck.com/images/cards/34773082.jpg|Frightfur Patchwork|54.50%|2.67
https://images.ygoprodeck.com/images/cards/61173621.jpg|Edge Imp Chain|54.50%|2.33
https://images.ygoprodeck.com/images/cards/24094653.jpg|Polymerization|54.50%|2.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|45.50%|1.60
https://images.ygoprodeck.com/images/cards/84478195.jpg|Barrier Statue of the Abyss|45.50%|1.00
https://images.ygoprodeck.com/images/cards/64881644.jpg|Refrain the Melodious Songstress|36.40%|3.00
https://images.ygoprodeck.com/images/cards/9113513.jpg|Ostinato|36.40%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|36.40%|3.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|36.40%|2.00
https://images.ygoprodeck.com/images/cards/79757784.jpg|Tamtam the Melodious Diva|36.40%|1.00
https://images.ygoprodeck.com/images/cards/31458630.jpg|Melodious Concerto|36.40%|1.00
https://images.ygoprodeck.com/images/cards/90276649.jpg|Couplet the Melodious Songstress|36.40%|1.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|27.30%|3.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|27.30%|2.33
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|27.30%|2.33
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|27.30%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|18.20%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|18.20%|1.50
https://images.ygoprodeck.com/images/cards/93729896.jpg|Nightmare Throne|9.10%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|9.10%|3.00
https://images.ygoprodeck.com/images/cards/44362883.jpg|Branded Fusion|9.10%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|9.10%|2.00
https://images.ygoprodeck.com/images/cards/68468459.jpg|Fallen of Albaz|9.10%|2.00
https://images.ygoprodeck.com/images/cards/94145022.jpg|Droll & Lock Bird|9.10%|2.00
https://images.ygoprodeck.com/images/cards/78371393.jpg|Yubel|9.10%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|9.10%|1.00
https://images.ygoprodeck.com/images/cards/90829280.jpg|Spirit of Yubel|9.10%|1.00
https://images.ygoprodeck.com/images/cards/1845204.jpg|Instant Fusion|9.10%|1.00
https://images.ygoprodeck.com/images/cards/63947968.jpg|Fiend Reflection of the Millennium|9.10%|1.00
