image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/83443619.jpg|Crystron Smiger|100.00%|2.92
https://images.ygoprodeck.com/images/cards/3422200.jpg|Crystron Sulfefnir|100.00%|2.75
https://images.ygoprodeck.com/images/cards/99471856.jpg|Crystron Tristaros|100.00%|2.50
https://images.ygoprodeck.com/images/cards/25865565.jpg|Crystron Sulfador|100.00%|2.17
https://images.ygoprodeck.com/images/cards/29838323.jpg|Crystron Thystvern|100.00%|1.00
https://images.ygoprodeck.com/images/cards/31552317.jpg|Crystron Inclusion|100.00%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|3.00
https://images.ygoprodeck.com/images/cards/53829527.jpg|Crystron Cluster|100.00%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|91.70%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|83.30%|2.80
https://images.ygoprodeck.com/images/cards/20050865.jpg|Crystron Citree|83.30%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|83.30%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|75.00%|3.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|58.30%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|50.00%|2.67
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|50.00%|2.67
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|41.70%|2.80
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|41.70%|1.80
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|41.70%|1.00
https://images.ygoprodeck.com/images/cards/81275020.jpg|Speedroid Terrortop|33.30%|3.00
https://images.ygoprodeck.com/images/cards/56049970.jpg|Crystron Prasiortle|33.30%|1.00
https://images.ygoprodeck.com/images/cards/53932291.jpg|Speedroid Taketomborg|33.30%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|33.30%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|25.00%|3.00
https://images.ygoprodeck.com/images/cards/26400609.jpg|Tidal, Dragon Ruler of Waterfalls|25.00%|2.33
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|25.00%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|25.00%|2.67
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|16.70%|1.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|16.70%|3.00
https://images.ygoprodeck.com/images/cards/66328392.jpg|Deception of the Sinful Spoils|16.70%|1.50
https://images.ygoprodeck.com/images/cards/94845588.jpg|The Hallowed Azamina|16.70%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|8.30%|3.00
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|8.30%|3.00
https://images.ygoprodeck.com/images/cards/30680659.jpg|Water Enchantress of the Temple|8.30%|3.00
https://images.ygoprodeck.com/images/cards/4334811.jpg|Scrap Recycler|8.30%|2.00
https://images.ygoprodeck.com/images/cards/11335209.jpg|Duamutef, Blessing of Horus|8.30%|1.00
https://images.ygoprodeck.com/images/cards/31149212.jpg|Kashtira Riseheart|8.30%|1.00
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|8.30%|1.00
https://images.ygoprodeck.com/images/cards/2563463.jpg|Wandering Gryphon Rider|8.30%|1.00
https://images.ygoprodeck.com/images/cards/3285551.jpg|Rite of Aramesir|8.30%|3.00
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|8.30%|2.00
https://images.ygoprodeck.com/images/cards/38745520.jpg|Dracoback, the Rideable Dragon|8.30%|1.00
https://images.ygoprodeck.com/images/cards/39568067.jpg|Fateful Adventure|8.30%|1.00
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|8.30%|1.00
