image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|75.00%|3.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|75.00%|1.00
https://images.ygoprodeck.com/images/cards/43534808.jpg|Token Collector|50.00%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|50.00%|2.50
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|50.00%|2.50
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|50.00%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|50.00%|2.50
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|50.00%|2.50
https://images.ygoprodeck.com/images/cards/37209439.jpg|Dark Contract with Errors|50.00%|1.00
https://images.ygoprodeck.com/images/cards/9030160.jpg|Dark Contract with the Eternal Darkness|50.00%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|50.00%|1.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|25.00%|3.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|25.00%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|25.00%|3.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|25.00%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|25.00%|1.00
https://images.ygoprodeck.com/images/cards/33814281.jpg|Dark Contract with Patent License|25.00%|1.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|25.00%|2.00
