image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/70711847.jpg|Danger! Nessie!|100.00%|2.44
https://images.ygoprodeck.com/images/cards/52350806.jpg|Danger! Mothman!|100.00%|2.11
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|77.80%|1.43
https://images.ygoprodeck.com/images/cards/72892473.jpg|Card Destruction|77.80%|1.00
https://images.ygoprodeck.com/images/cards/60228941.jpg|Snoww, Unlight of Dark World|66.70%|3.00
https://images.ygoprodeck.com/images/cards/41406613.jpg|Reign-Beaux, Overking of Dark World|66.70%|3.00
https://images.ygoprodeck.com/images/cards/77895328.jpg|Genta, Gateman of Dark World|66.70%|3.00
https://images.ygoprodeck.com/images/cards/33017655.jpg|The Gates of Dark World|66.70%|2.67
https://images.ygoprodeck.com/images/cards/34230233.jpg|Grapha, Dragon Lord of Dark World|66.70%|2.50
https://images.ygoprodeck.com/images/cards/98696958.jpg|Dark Corridor|66.70%|2.33
https://images.ygoprodeck.com/images/cards/65956182.jpg|Dark World Accession|66.70%|2.00
https://images.ygoprodeck.com/images/cards/32619583.jpg|Sillva, Warlord of Dark World|66.70%|1.67
https://images.ygoprodeck.com/images/cards/43316238.jpg|Danger! Bigfoot!|66.70%|1.67
https://images.ygoprodeck.com/images/cards/7623640.jpg|Ceruli, Guru of Dark World|66.70%|1.17
https://images.ygoprodeck.com/images/cards/43694650.jpg|Danger!? Jackalope?|66.70%|1.00
https://images.ygoprodeck.com/images/cards/1475311.jpg|Allure of Darkness|55.60%|2.40
https://images.ygoprodeck.com/images/cards/16209941.jpg|Danger! Chupacabra!|55.60%|2.00
https://images.ygoprodeck.com/images/cards/99745551.jpg|Danger!? Tsuchinoko?|55.60%|1.00
https://images.ygoprodeck.com/images/cards/73956664.jpg|Tearlaments Reinoheart|33.30%|3.00
https://images.ygoprodeck.com/images/cards/4928565.jpg|Tearlaments Kashtira|33.30%|3.00
https://images.ygoprodeck.com/images/cards/74920585.jpg|Tearlaments Sulliek|33.30%|2.67
https://images.ygoprodeck.com/images/cards/6767771.jpg|Tearlaments Scream|33.30%|2.67
https://images.ygoprodeck.com/images/cards/77103950.jpg|Primeval Planet Perlereino|33.30%|1.67
https://images.ygoprodeck.com/images/cards/33878367.jpg|Tearlaments Grief|33.30%|1.33
https://images.ygoprodeck.com/images/cards/572850.jpg|Tearlaments Scheiren|33.30%|1.00
https://images.ygoprodeck.com/images/cards/74078255.jpg|Tearlaments Merrli|33.30%|1.00
https://images.ygoprodeck.com/images/cards/37961969.jpg|Tearlaments Havnis|33.30%|1.00
https://images.ygoprodeck.com/images/cards/14785765.jpg|Blackwing - Zephyros the Elite|33.30%|1.00
https://images.ygoprodeck.com/images/cards/64765016.jpg|Paleozoic Marrella|22.20%|3.00
https://images.ygoprodeck.com/images/cards/38761908.jpg|Paleozoic Dinomischus|22.20%|3.00
https://images.ygoprodeck.com/images/cards/84968490.jpg|Needlebug Nest|22.20%|3.00
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|22.20%|3.00
https://images.ygoprodeck.com/images/cards/19254117.jpg|Rise to Full Height|22.20%|2.50
https://images.ygoprodeck.com/images/cards/6351147.jpg|Transaction Rollback|22.20%|2.00
https://images.ygoprodeck.com/images/cards/60990740.jpg|Absolute King Back Jack|22.20%|1.50
https://images.ygoprodeck.com/images/cards/7608148.jpg|Vivid Tail|22.20%|1.00
https://images.ygoprodeck.com/images/cards/50259460.jpg|Versago the Destroyer|22.20%|1.00
