image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/93969023.jpg|Black Metal Dragon|100.00%|3.00
https://images.ygoprodeck.com/images/cards/49823708.jpg|Buster Whelp of the Destruction Swordsman|100.00%|3.00
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|100.00%|3.00
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|100.00%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|100.00%|2.00
https://images.ygoprodeck.com/images/cards/78193831.jpg|Buster Blader|100.00%|1.00
https://images.ygoprodeck.com/images/cards/3428069.jpg|Buster Blader, the Destruction Swordmaster|100.00%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|100.00%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|100.00%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|100.00%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|100.00%|1.00
https://images.ygoprodeck.com/images/cards/76218313.jpg|Dragon Buster Destruction Sword|100.00%|1.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|100.00%|1.00
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|100.00%|1.00
https://images.ygoprodeck.com/images/cards/80870883.jpg|Red-Eyes Black Fullmetal Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/88264978.jpg|Red-Eyes Darkness Metal Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|100.00%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|100.00%|2.00
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|3.00
https://images.ygoprodeck.com/images/cards/33280639.jpg|Prologue of the Destruction Swordsman|100.00%|3.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|100.00%|3.00
https://images.ygoprodeck.com/images/cards/32104431.jpg|Destruction Sword Memories|100.00%|2.00
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|100.00%|2.00
https://images.ygoprodeck.com/images/cards/99989863.jpg|Fiendsmith in Paradise|100.00%|1.00
https://images.ygoprodeck.com/images/cards/89812483.jpg|Max Metalmorph|100.00%|1.00
