image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/92133240.jpg|Dinomorphia Therizia|100.00%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.33
https://images.ygoprodeck.com/images/cards/38628859.jpg|Dinomorphia Diplos|100.00%|1.33
https://images.ygoprodeck.com/images/cards/78420796.jpg|Dinomorphia Frenzy|100.00%|3.00
https://images.ygoprodeck.com/images/cards/26631975.jpg|Dinomorphia Domain|100.00%|2.67
https://images.ygoprodeck.com/images/cards/7336745.jpg|Dinomorphia Intact|100.00%|2.33
https://images.ygoprodeck.com/images/cards/31044787.jpg|Ferret Flames|100.00%|2.00
https://images.ygoprodeck.com/images/cards/38572779.jpg|Miscellaneousaurus|66.70%|1.00
https://images.ygoprodeck.com/images/cards/47325505.jpg|Fossil Dig|66.70%|3.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|66.70%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|66.70%|3.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|66.70%|3.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|66.70%|2.50
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|66.70%|2.50
https://images.ygoprodeck.com/images/cards/52020510.jpg|Dinomorphia Alert|66.70%|1.00
https://images.ygoprodeck.com/images/cards/73602965.jpg|Arias the Labrynth Butler|33.30%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|33.30%|3.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|33.30%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|33.30%|2.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|33.30%|2.00
https://images.ygoprodeck.com/images/cards/3248469.jpg|Wannabee!|33.30%|2.00
https://images.ygoprodeck.com/images/cards/17948378.jpg|Jurrac Dino|33.30%|1.00
https://images.ygoprodeck.com/images/cards/36717258.jpg|Jurrac Monoloph|33.30%|1.00
https://images.ygoprodeck.com/images/cards/2347656.jpg|Lovely Labrynth of the Silver Castle|33.30%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|33.30%|2.00
https://images.ygoprodeck.com/images/cards/49238328.jpg|Pot of Extravagance|33.30%|2.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|33.30%|2.00
https://images.ygoprodeck.com/images/cards/12682213.jpg|Iron Thunder|33.30%|3.00
https://images.ygoprodeck.com/images/cards/92714517.jpg|Big Welcome Labrynth|33.30%|2.00
https://images.ygoprodeck.com/images/cards/31548215.jpg|Gravedigger's Trap Hole|33.30%|2.00
https://images.ygoprodeck.com/images/cards/63086455.jpg|Terrors of the Overroot|33.30%|2.00
https://images.ygoprodeck.com/images/cards/99414629.jpg|Dinomorphia Brute|33.30%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|33.30%|1.00
https://images.ygoprodeck.com/images/cards/74577599.jpg|Traptrix Holeutea|33.30%|1.00
https://images.ygoprodeck.com/images/cards/58053438.jpg||33.30%|3.00
