image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|87.50%|2.71
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|75.00%|1.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|62.50%|1.80
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|62.50%|1.80
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|50.00%|1.25
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|50.00%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|50.00%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|37.50%|2.00
https://images.ygoprodeck.com/images/cards/53765052.jpg|Diabellze the Original Sinkeeper|37.50%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|37.50%|1.67
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|37.50%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|37.50%|1.00
https://images.ygoprodeck.com/images/cards/97518132.jpg|Naelshaddoll Ariel|25.00%|1.00
https://images.ygoprodeck.com/images/cards/40221691.jpg|Nightmare Magician|25.00%|1.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|25.00%|2.50
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|12.50%|3.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|12.50%|2.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|12.50%|2.00
https://images.ygoprodeck.com/images/cards/67750322.jpg|Skull Meister|12.50%|2.00
https://images.ygoprodeck.com/images/cards/84478195.jpg|Barrier Statue of the Abyss|12.50%|1.00
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|12.50%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|12.50%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|12.50%|1.00
https://images.ygoprodeck.com/images/cards/34710660.jpg|Electromagnetic Turtle|12.50%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|12.50%|1.00
https://images.ygoprodeck.com/images/cards/80925836.jpg|Koa'ki Meiru Doom|12.50%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|12.50%|2.00
https://images.ygoprodeck.com/images/cards/43711255.jpg|Prohibition|12.50%|2.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|12.50%|2.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|12.50%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|12.50%|1.00
https://images.ygoprodeck.com/images/cards/36361633.jpg|Threatening Roar|12.50%|3.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|12.50%|2.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|12.50%|2.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|12.50%|2.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|12.50%|1.00
https://images.ygoprodeck.com/images/cards/53329234.jpg|Sinful Spoils of Slumber - Morrian|12.50%|1.00
