image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18094166.jpg|Vision HERO Faris|100.00%|2.91
https://images.ygoprodeck.com/images/cards/40044918.jpg|Elemental HERO Stratos|100.00%|2.61
https://images.ygoprodeck.com/images/cards/9411399.jpg|Destiny HERO - Malicious|100.00%|2.26
https://images.ygoprodeck.com/images/cards/27780618.jpg|Vision HERO Vyon|100.00%|2.09
https://images.ygoprodeck.com/images/cards/22865492.jpg|Vision HERO Increase|100.00%|1.61
https://images.ygoprodeck.com/images/cards/50720316.jpg|Elemental HERO Shadow Mist|100.00%|1.56
https://images.ygoprodeck.com/images/cards/83965310.jpg|Destiny HERO - Plasma|100.00%|1.04
https://images.ygoprodeck.com/images/cards/16605586.jpg|Destiny HERO - Denier|100.00%|1.00
https://images.ygoprodeck.com/images/cards/59392529.jpg|Elemental HERO Liquid Soldier|100.00%|1.00
https://images.ygoprodeck.com/images/cards/8949584.jpg|A Hero Lives|100.00%|3.00
https://images.ygoprodeck.com/images/cards/52947044.jpg|Fusion Destiny|100.00%|2.91
https://images.ygoprodeck.com/images/cards/24094653.jpg|Polymerization|100.00%|1.48
https://images.ygoprodeck.com/images/cards/45906428.jpg|Miracle Fusion|100.00%|1.00
https://images.ygoprodeck.com/images/cards/21143940.jpg|Mask Change|95.70%|2.32
https://images.ygoprodeck.com/images/cards/32807846.jpg|Reinforcement of the Army|91.30%|1.00
https://images.ygoprodeck.com/images/cards/75047173.jpg|Favorite Contact|82.60%|1.00
https://images.ygoprodeck.com/images/cards/89943723.jpg|Elemental HERO Neos|78.30%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|78.30%|2.50
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|78.30%|2.28
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|73.90%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|73.90%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|69.60%|2.44
https://images.ygoprodeck.com/images/cards/26964762.jpg|Destiny HERO - Dark Angel|60.90%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|52.20%|1.83
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|43.50%|2.50
https://images.ygoprodeck.com/images/cards/213326.jpg|E - Emergency Call|34.80%|1.50
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|30.40%|1.86
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|26.10%|1.67
https://images.ygoprodeck.com/images/cards/40740224.jpg|Cross Keeper|21.70%|1.00
https://images.ygoprodeck.com/images/cards/14124483.jpg|Elemental HERO Honest Neos|21.70%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|21.70%|2.40
https://images.ygoprodeck.com/images/cards/48486809.jpg|Winged Kuriboh LV6|17.40%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|17.40%|2.50
