image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|100.00%|2.90
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|100.00%|2.45
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|97.40%|1.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|97.40%|2.13
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|94.70%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|92.10%|3.00
https://images.ygoprodeck.com/images/cards/99989863.jpg|Fiendsmith in Paradise|89.50%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|86.80%|2.97
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|78.90%|2.53
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|76.30%|2.55
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|63.20%|2.96
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|63.20%|2.62
https://images.ygoprodeck.com/images/cards/68304193.jpg|Kashtira Unicorn|63.20%|2.12
https://images.ygoprodeck.com/images/cards/71832012.jpg|Pressured Planet Wraitsoth|63.20%|2.62
https://images.ygoprodeck.com/images/cards/69540484.jpg|Kashtira Birth|63.20%|1.00
https://images.ygoprodeck.com/images/cards/97045737.jpg|Dominus Purge|57.90%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|42.10%|2.44
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|42.10%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|39.50%|2.33
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|36.80%|2.71
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|28.90%|2.36
https://images.ygoprodeck.com/images/cards/35552985.jpg|Fiendsmith's Sanct|28.90%|1.64
https://images.ygoprodeck.com/images/cards/31629407.jpg|Magical Musketeer Starfire|21.10%|2.50
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|18.40%|1.86
https://images.ygoprodeck.com/images/cards/68024506.jpg|Magical Musketeer Calamity|15.80%|1.00
https://images.ygoprodeck.com/images/cards/41165831.jpg|Unchained Soul of Sharvara|13.20%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|10.50%|1.25
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|10.50%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|10.50%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|10.50%|3.00
https://images.ygoprodeck.com/images/cards/92565383.jpg|Cornfield Coatl|7.90%|3.00
https://images.ygoprodeck.com/images/cards/23076639.jpg|Gazelle the King of Mythical Claws|7.90%|3.00
https://images.ygoprodeck.com/images/cards/28954097.jpg|Mirror Swordknight|7.90%|3.00
https://images.ygoprodeck.com/images/cards/58143852.jpg|Nightmare Apprentice|7.90%|3.00
https://images.ygoprodeck.com/images/cards/61173621.jpg|Edge Imp Chain|7.90%|2.00
https://images.ygoprodeck.com/images/cards/32841045.jpg|Magical Musketeer Caspar|7.90%|1.67
https://images.ygoprodeck.com/images/cards/57624336.jpg|Archfiend Eccentrick|7.90%|1.00
https://images.ygoprodeck.com/images/cards/55461744.jpg|Big-Winged Berfomet|7.90%|1.00
https://images.ygoprodeck.com/images/cards/53765052.jpg|Diabellze the Original Sinkeeper|7.90%|1.00
https://images.ygoprodeck.com/images/cards/13650422.jpg|Evil HERO Adusted Gold|7.90%|1.00
https://images.ygoprodeck.com/images/cards/45659520.jpg|Evil HERO Sinister Necrom|7.90%|1.00
https://images.ygoprodeck.com/images/cards/63136489.jpg|Chimera Fusion|7.90%|3.00
https://images.ygoprodeck.com/images/cards/34773082.jpg|Frightfur Patchwork|7.90%|2.33
https://images.ygoprodeck.com/images/cards/24094653.jpg|Polymerization|7.90%|1.00
https://images.ygoprodeck.com/images/cards/34022970.jpg|Ext Ryzeal|5.30%|3.00
https://images.ygoprodeck.com/images/cards/8633261.jpg|Ice Ryzeal|5.30%|3.00
https://images.ygoprodeck.com/images/cards/35844557.jpg|Sword Ryzeal|5.30%|3.00
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|5.30%|1.50
https://images.ygoprodeck.com/images/cards/78077209.jpg|Diabolica the Draconique General|5.30%|1.00
https://images.ygoprodeck.com/images/cards/72238166.jpg|Node Ryzeal|5.30%|1.00
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|5.30%|3.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|5.30%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|5.30%|1.50
https://images.ygoprodeck.com/images/cards/94820406.jpg|Dark Fusion|5.30%|1.00
https://images.ygoprodeck.com/images/cards/6798031.jpg|Ryzeal Cross|5.30%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|5.30%|1.00
