image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|82.60%|1.66
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|79.10%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|68.60%|1.97
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|55.80%|2.27
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|41.90%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|41.90%|1.72
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|39.50%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|39.50%|1.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|38.40%|1.79
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|31.40%|2.19
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|29.10%|2.28
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|25.60%|1.54
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|25.60%|1.32
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|25.60%|2.32
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|24.40%|1.67
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|24.40%|1.33
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|23.30%|1.90
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|23.30%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|19.80%|1.88
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|18.60%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|16.30%|1.21
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|15.10%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|12.80%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|11.60%|2.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|10.50%|1.44
