image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/2526224.jpg|Fire King High Avatar Kirin|100.00%|2.62
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|100.00%|2.21
https://images.ygoprodeck.com/images/cards/90681088.jpg|Legendary Fire King Ponix|100.00%|1.14
https://images.ygoprodeck.com/images/cards/18621798.jpg|Fire King Avatar Arvata|100.00%|1.03
https://images.ygoprodeck.com/images/cards/66431519.jpg|Sacred Fire King Garunix|100.00%|1.03
https://images.ygoprodeck.com/images/cards/90241276.jpg|Snake-Eyes Poplar|100.00%|1.00
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|100.00%|3.00
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|100.00%|2.90
https://images.ygoprodeck.com/images/cards/57554544.jpg|Fire King Island|100.00%|1.03
https://images.ygoprodeck.com/images/cards/65305978.jpg|Fire King Sanctuary|100.00%|1.03
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|100.00%|1.03
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|96.60%|3.00
https://images.ygoprodeck.com/images/cards/44455560.jpg|Fire King Courtier Ulcanix|96.60%|2.46
https://images.ygoprodeck.com/images/cards/23015896.jpg|Fire King High Avatar Garunix|96.60%|1.00
https://images.ygoprodeck.com/images/cards/9674034.jpg|Snake-Eye Ash|96.60%|1.00
https://images.ygoprodeck.com/images/cards/48452496.jpg|Snake-Eyes Flamberge Dragon|96.60%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|96.60%|2.82
https://images.ygoprodeck.com/images/cards/45663742.jpg|Snake-Eye Oak|93.10%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|93.10%|2.89
https://images.ygoprodeck.com/images/cards/66328392.jpg||89.70%|2.08
https://images.ygoprodeck.com/images/cards/94845588.jpg||89.70%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|82.80%|2.96
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|62.10%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|58.60%|2.29
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|41.40%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|34.50%|1.90
https://images.ygoprodeck.com/images/cards/91703676.jpg|Fire King Sky Burn|34.50%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|24.10%|1.71
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|13.80%|2.50
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|13.80%|1.50
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|6.90%|2.00
https://images.ygoprodeck.com/images/cards/38910263.jpg|Fire King Avatar Rangbali|6.90%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|6.90%|2.50
https://images.ygoprodeck.com/images/cards/59388357.jpg|Circle of the Fire Kings|6.90%|1.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|3.40%|3.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|3.40%|2.00
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|3.40%|1.00
https://images.ygoprodeck.com/images/cards/69000994.jpg|Fire King Avatar Barong|3.40%|1.00
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|3.40%|1.00
https://images.ygoprodeck.com/images/cards/27260347.jpg|Snake-Eyes Diabellstar|3.40%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|3.40%|3.00
https://images.ygoprodeck.com/images/cards/63166095.jpg|Sky Striker Mobilize - Engage!|3.40%|3.00
https://images.ygoprodeck.com/images/cards/98338152.jpg|Sky Striker Mecha - Widow Anchor|3.40%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|3.40%|2.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|3.40%|1.00
https://images.ygoprodeck.com/images/cards/53639887.jpg|Divine Temple of the Snake-Eye|3.40%|1.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|3.40%|1.00
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|3.40%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|3.40%|1.00
https://images.ygoprodeck.com/images/cards/24081957.jpg|Sinful Spoils of Subversion - Snake-Eye|3.40%|1.00
https://images.ygoprodeck.com/images/cards/99550630.jpg|Sky Striker Maneuver - Afterburners!|3.40%|1.00
https://images.ygoprodeck.com/images/cards/52340444.jpg|Sky Striker Mecha - Hornet Drones|3.40%|1.00
https://images.ygoprodeck.com/images/cards/51227866.jpg|Sky Striker Mecha - Shark Cannon|3.40%|1.00
https://images.ygoprodeck.com/images/cards/44822037.jpg|Angel Statue - Azurune|3.40%|1.00
