image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|75.00%|1.75
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|68.80%|2.82
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|50.00%|1.25
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|43.80%|2.43
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|43.80%|1.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|31.20%|2.20
https://images.ygoprodeck.com/images/cards/91703676.jpg|Fire King Sky Burn|31.20%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|31.20%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|25.00%|2.50
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|25.00%|2.50
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|25.00%|2.25
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|25.00%|1.75
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|25.00%|1.50
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|25.00%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|25.00%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|25.00%|1.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|18.80%|3.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|18.80%|2.33
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|18.80%|1.67
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|18.80%|1.33
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|18.80%|1.33
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|18.80%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|18.80%|1.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|18.80%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|18.80%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|12.50%|2.00
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|12.50%|1.50
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|12.50%|1.50
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|12.50%|1.50
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|12.50%|1.00
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|12.50%|1.00
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|6.20%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|6.20%|3.00
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|6.20%|2.00
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|6.20%|2.00
https://images.ygoprodeck.com/images/cards/69750546.jpg|Volcanic Scattershot|6.20%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|6.20%|1.00
https://images.ygoprodeck.com/images/cards/72329844.jpg|Spright Sprind|6.20%|1.00
https://images.ygoprodeck.com/images/cards/24081957.jpg|Sinful Spoils of Subversion - Snake-Eye|6.20%|1.00
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|6.20%|1.00
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|6.20%|1.00
https://images.ygoprodeck.com/images/cards/26700718.jpg|Dramatic Snake-Eye Chase|6.20%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|6.20%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|6.20%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|6.20%|1.00
https://images.ygoprodeck.com/images/cards/91706817.jpg|Angel of Blue Tears|6.20%|1.00
