image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|97.30%|1.28
https://images.ygoprodeck.com/images/cards/48608796.jpg|Lyrilusc - Assembled Nightingale|97.30%|1.17
https://images.ygoprodeck.com/images/cards/72167543.jpg|Downerd Magician|91.90%|1.12
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|75.70%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|70.30%|1.00
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|67.60%|1.04
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|59.50%|1.18
https://images.ygoprodeck.com/images/cards/8491961.jpg|Lyrilusc - Recital Starling|51.40%|1.16
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|45.90%|1.06
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|45.90%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|43.20%|1.06
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|43.20%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|40.50%|1.00
https://images.ygoprodeck.com/images/cards/93125329.jpg|Golden Cloud Beast - Malong|32.40%|1.17
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|32.40%|1.00
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|27.00%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|24.30%|1.00
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|24.30%|1.00
https://images.ygoprodeck.com/images/cards/30674956.jpg|Wynn the Wind Charmer, Verdant|24.30%|1.00
https://images.ygoprodeck.com/images/cards/9940036.jpg|Mereologic Aggregator|21.60%|1.12
https://images.ygoprodeck.com/images/cards/56910167.jpg|Superdreadnought Rail Cannon Gustav Max|21.60%|1.12
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|21.60%|1.00
https://images.ygoprodeck.com/images/cards/99726621.jpg|Tri-Brigade Shuraig the Ominous Omen|18.90%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|16.20%|1.00
https://images.ygoprodeck.com/images/cards/75452921.jpg|Knightmare Cerberus|16.20%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|16.20%|1.00
https://images.ygoprodeck.com/images/cards/26847978.jpg|Tri-Brigade Ferrijit the Barren Blossom|16.20%|1.00
https://images.ygoprodeck.com/images/cards/10019086.jpg|Tri-Brigade Arms Bucephalus II|13.50%|1.00
https://images.ygoprodeck.com/images/cards/84121193.jpg|Codebreaker Virus Swordsman|10.80%|1.00
https://images.ygoprodeck.com/images/cards/41999284.jpg|Linkuriboh|10.80%|1.00
https://images.ygoprodeck.com/images/cards/19369609.jpg|Lyrilusc - Promenade Thrush|10.80%|1.00
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|10.80%|1.00
https://images.ygoprodeck.com/images/cards/26096328.jpg|Superdreadnought Rail Cannon Juggernaut Liebe|8.10%|1.33
https://images.ygoprodeck.com/images/cards/49202162.jpg|Black Luster Soldier - Soldier of Chaos|8.10%|1.00
https://images.ygoprodeck.com/images/cards/73309655.jpg|Eria the Water Charmer, Gentle|8.10%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|5.40%|1.00
https://images.ygoprodeck.com/images/cards/93672138.jpg|Evil★Twin's Trouble Sunny|5.40%|1.00
https://images.ygoprodeck.com/images/cards/98978921.jpg|Link Spider|5.40%|1.00
https://images.ygoprodeck.com/images/cards/21887175.jpg|Mekk-Knight Crusadia Avramax|5.40%|1.00
https://images.ygoprodeck.com/images/cards/44146295.jpg|Mirrorjade the Iceblade Dragon|5.40%|1.00
