image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/28004531.jpg|Rex, Freight Fur Hire|100.00%|3.00
https://images.ygoprodeck.com/images/cards/48214588.jpg|Rookie Fur Hire|100.00%|1.36
https://images.ygoprodeck.com/images/cards/93850652.jpg|Beat, Bladesman Fur Hire|100.00%|1.36
https://images.ygoprodeck.com/images/cards/91405870.jpg|Mayhem Fur Hire|100.00%|1.07
https://images.ygoprodeck.com/images/cards/94073244.jpg|Donpa, Marksman Fur Hire|100.00%|1.07
https://images.ygoprodeck.com/images/cards/38916526.jpg|Rafale, Champion Fur Hire|100.00%|1.00
https://images.ygoprodeck.com/images/cards/76145933.jpg|Spright Blue|92.90%|2.85
https://images.ygoprodeck.com/images/cards/75922381.jpg|Spright Red|92.90%|1.08
https://images.ygoprodeck.com/images/cards/2311090.jpg|Spright Carrot|92.90%|1.00
https://images.ygoprodeck.com/images/cards/31562086.jpg|Runick Tip|85.70%|3.00
https://images.ygoprodeck.com/images/cards/30430448.jpg|Runick Freezing Curses|85.70%|3.00
https://images.ygoprodeck.com/images/cards/68957034.jpg|Runick Flashing Fire|85.70%|3.00
https://images.ygoprodeck.com/images/cards/94445733.jpg|Runick Destruction|85.70%|3.00
https://images.ygoprodeck.com/images/cards/67835547.jpg|Runick Slumber|85.70%|2.83
https://images.ygoprodeck.com/images/cards/92107604.jpg|Runick Fountain|85.70%|2.00
https://images.ygoprodeck.com/images/cards/47325505.jpg|Fossil Dig|78.60%|2.91
https://images.ygoprodeck.com/images/cards/13533678.jpg|Spright Jet|78.60%|1.36
https://images.ygoprodeck.com/images/cards/15443125.jpg|Spright Starter|78.60%|1.18
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|50.00%|1.57
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|35.70%|3.00
https://images.ygoprodeck.com/images/cards/36205132.jpg|Filo, Messenger Fur Hire|35.70%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|28.60%|2.75
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|21.40%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|21.40%|2.33
https://images.ygoprodeck.com/images/cards/88836438.jpg|Spright Smashers|21.40%|1.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|14.30%|3.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|14.30%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|14.30%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|14.30%|2.50
https://images.ygoprodeck.com/images/cards/93332803.jpg|Dogoran, the Mad Flame Kaiju|14.30%|2.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|14.30%|2.00
https://images.ygoprodeck.com/images/cards/20345391.jpg|Seal, Strategist Fur Hire|14.30%|1.50
https://images.ygoprodeck.com/images/cards/1527418.jpg|Wiz, Sage Fur Hire|14.30%|1.00
https://images.ygoprodeck.com/images/cards/66712905.jpg|Runick Dispelling|14.30%|1.00
https://images.ygoprodeck.com/images/cards/31467949.jpg|Recon, Scout Fur Hire|14.30%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|14.30%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|7.10%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|7.10%|3.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|7.10%|2.00
https://images.ygoprodeck.com/images/cards/14087893.jpg|Book of Moon|7.10%|2.00
https://images.ygoprodeck.com/images/cards/93229151.jpg|Runick Smiting Storm|7.10%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|7.10%|1.00
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|7.10%|1.00
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|7.10%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|7.10%|1.00
