image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|100.00%|2.50
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|100.00%|2.00
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|100.00%|1.00
https://images.ygoprodeck.com/images/cards/8038143.jpg|Tachyon Transmigration|50.00%|3.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|50.00%|3.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|50.00%|3.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|50.00%|2.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|50.00%|2.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|50.00%|1.00
https://images.ygoprodeck.com/images/cards/15520842.jpg|Photon Hand|50.00%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|50.00%|1.00
https://images.ygoprodeck.com/images/cards/77098449.jpg|Galaxy Wave|50.00%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|50.00%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|50.00%|1.00
