image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/27004302.jpg|Gem-Armadillo|100.00%|2.61
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.00
https://images.ygoprodeck.com/images/cards/35622739.jpg|Gem-Knight Quartz|100.00%|1.28
https://images.ygoprodeck.com/images/cards/24220368.jpg|Gem-Knight Dispersion|100.00%|3.00
https://images.ygoprodeck.com/images/cards/7394770.jpg|Brilliant Fusion|100.00%|1.00
https://images.ygoprodeck.com/images/cards/1264319.jpg|Gem-Knight Fusion|100.00%|1.00
https://images.ygoprodeck.com/images/cards/51831560.jpg||100.00%|3.00
https://images.ygoprodeck.com/images/cards/88225269.jpg||100.00%|2.33
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|94.40%|2.94
https://images.ygoprodeck.com/images/cards/79531196.jpg|Crystal Rose|88.90%|1.56
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|88.90%|2.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|88.90%|1.00
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|83.30%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|77.80%|2.79
https://images.ygoprodeck.com/images/cards/61011438.jpg|Brilliant Rose|72.20%|1.69
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|72.20%|1.69
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|55.60%|2.70
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|50.00%|1.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|50.00%|1.00
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|50.00%|1.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|50.00%|1.00
https://images.ygoprodeck.com/images/cards/54620698.jpg|Gem-Knight Tourmaline|44.40%|1.00
https://images.ygoprodeck.com/images/cards/94689206.jpg|Block Dragon|38.90%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|38.90%|1.43
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|33.30%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|33.30%|1.50
https://images.ygoprodeck.com/images/cards/91731841.jpg|Gem-Knight Garnet|22.20%|1.00
https://images.ygoprodeck.com/images/cards/92501449.jpg|Primite Roar|22.20%|3.00
https://images.ygoprodeck.com/images/cards/46533533.jpg||22.20%|1.00
https://images.ygoprodeck.com/images/cards/85914562.jpg|Adamancipator Researcher|16.70%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|16.70%|3.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|11.10%|1.00
https://images.ygoprodeck.com/images/cards/40597694.jpg|Scatter Fusion|11.10%|2.50
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|11.10%|1.00
https://images.ygoprodeck.com/images/cards/83334932.jpg|Superheavy Samurai Motorbike|5.60%|3.00
https://images.ygoprodeck.com/images/cards/82112494.jpg|Superheavy Samurai Prodigy Wakaushi|5.60%|3.00
https://images.ygoprodeck.com/images/cards/92919429.jpg|Diviner of the Herald|5.60%|2.00
https://images.ygoprodeck.com/images/cards/48519867.jpg|Adamancipator Seeker|5.60%|1.00
https://images.ygoprodeck.com/images/cards/94076521.jpg|Cartorhyn the Hidden Gem of the Seafront|5.60%|1.00
https://images.ygoprodeck.com/images/cards/27126980.jpg|Gem-Knight Sapphire|5.60%|1.00
https://images.ygoprodeck.com/images/cards/47606319.jpg|Gigantes|5.60%|1.00
https://images.ygoprodeck.com/images/cards/45041488.jpg|Koa'ki Meiru Guardian|5.60%|1.00
https://images.ygoprodeck.com/images/cards/80839052.jpg|Koa'ki Meiru Supplier|5.60%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|5.60%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|5.60%|1.00
https://images.ygoprodeck.com/images/cards/19510093.jpg|Superheavy Samurai Monk Big Benkei|5.60%|1.00
https://images.ygoprodeck.com/images/cards/78391364.jpg|Superheavy Samurai Scales|5.60%|1.00
https://images.ygoprodeck.com/images/cards/95500396.jpg|Superheavy Samurai Soulpeacemaker|5.60%|1.00
https://images.ygoprodeck.com/images/cards/90361010.jpg|Superheavy Samurai Soulpiercer|5.60%|1.00
https://images.ygoprodeck.com/images/cards/12467005.jpg|Tackle Crusader|5.60%|1.00
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|5.60%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|5.60%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|5.60%|1.00
https://images.ygoprodeck.com/images/cards/87126721.jpg|Mulcharmy Meowls|5.60%|1.00
