image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/29599813.jpg|Purrely Pretty Memory|100.00%|3.00
https://images.ygoprodeck.com/images/cards/82105704.jpg|Purrely Happy Memory|100.00%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/79933029.jpg|Purrelyly|100.00%|2.88
https://images.ygoprodeck.com/images/cards/25550531.jpg|Purrely|100.00%|2.88
https://images.ygoprodeck.com/images/cards/56700100.jpg|My Friend Purrely|100.00%|2.88
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|2.62
https://images.ygoprodeck.com/images/cards/21347668.jpg|Purrely Sleepy Memory|100.00%|2.50
https://images.ygoprodeck.com/images/cards/55584558.jpg|Purrely Delicious Memory|100.00%|2.00
https://images.ygoprodeck.com/images/cards/69809989.jpg|Ghostrick Shot|100.00%|1.62
https://images.ygoprodeck.com/images/cards/82983267.jpg|Purrelyeap!?|100.00%|1.12
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|87.50%|2.86
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|75.00%|1.67
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|62.50%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|62.50%|1.60
https://images.ygoprodeck.com/images/cards/61818176.jpg|Ghostrick Renovation|62.50%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|50.00%|1.25
https://images.ygoprodeck.com/images/cards/20212491.jpg|Stray Purrely Street|37.50%|2.67
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|37.50%|2.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|25.00%|2.50
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|25.00%|2.50
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|12.50%|3.00
https://images.ygoprodeck.com/images/cards/9674034.jpg|Snake-Eye Ash|12.50%|2.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|12.50%|2.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|12.50%|2.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|12.50%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|12.50%|1.00
https://images.ygoprodeck.com/images/cards/90241276.jpg|Snake-Eyes Poplar|12.50%|1.00
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|12.50%|1.00
