image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/36436372.jpg|Gimmick Puppet Little Soldiers|100.00%|3.00
https://images.ygoprodeck.com/images/cards/63825486.jpg|Gimmick Puppet Rouge Doll|100.00%|3.00
https://images.ygoprodeck.com/images/cards/43598843.jpg|Gimmick Puppet Terror Baby|100.00%|2.09
https://images.ygoprodeck.com/images/cards/79086452.jpg|Gimmick Puppet Bisque Doll|100.00%|1.27
https://images.ygoprodeck.com/images/cards/99229085.jpg|Gimmick Puppet Cattle Scream|100.00%|1.00
https://images.ygoprodeck.com/images/cards/57093995.jpg|Condolence Puppet|100.00%|3.00
https://images.ygoprodeck.com/images/cards/36890111.jpg|Mansion of the Dreadful Dolls|100.00%|3.00
https://images.ygoprodeck.com/images/cards/94220427.jpg|Rank-Up-Magic Argent Chaos Force|100.00%|1.91
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|100.00%|1.00
https://images.ygoprodeck.com/images/cards/36400569.jpg|Service Puppet Play|100.00%|1.00
https://images.ygoprodeck.com/images/cards/92418590.jpg|Gimmick Puppet Dreary Doll|90.90%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|90.90%|2.90
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|81.80%|1.00
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|72.70%|2.75
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|72.70%|3.00
https://images.ygoprodeck.com/images/cards/81439174.jpg|Foolish Burial|72.70%|1.00
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|72.70%|1.00
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|63.60%|1.00
https://images.ygoprodeck.com/images/cards/73468603.jpg|Set Rotation|63.60%|1.00
https://images.ygoprodeck.com/images/cards/26984177.jpg|Walls of the Imperial Tomb|63.60%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|54.50%|1.33
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|54.50%|1.33
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|45.50%|1.20
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|45.50%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|45.50%|1.80
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|36.40%|3.00
https://images.ygoprodeck.com/images/cards/5611760.jpg|Rainbow Bridge of Salvation|36.40%|1.00
https://images.ygoprodeck.com/images/cards/29216967.jpg|Gimmick Puppet Scissor Arms|27.30%|1.33
https://images.ygoprodeck.com/images/cards/21698716.jpg|Crystal Beast Cobalt Eagle|27.30%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|27.30%|2.33
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|18.20%|2.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|18.20%|1.00
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|18.20%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|9.10%|3.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|9.10%|3.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|9.10%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|9.10%|1.00
https://images.ygoprodeck.com/images/cards/7093411.jpg|Crystal Beast Sapphire Pegasus|9.10%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|9.10%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|9.10%|1.00
https://images.ygoprodeck.com/images/cards/11335209.jpg|Duamutef, Blessing of Horus|9.10%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|9.10%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|9.10%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|9.10%|1.00
https://images.ygoprodeck.com/images/cards/1475311.jpg|Allure of Darkness|9.10%|3.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|9.10%|3.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|9.10%|3.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|9.10%|3.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|9.10%|1.00
