image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|100.00%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|81.80%|1.89
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|54.50%|3.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|54.50%|3.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|45.50%|1.60
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|36.40%|3.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|36.40%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|36.40%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|36.40%|3.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|27.30%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|27.30%|3.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|27.30%|1.33
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|18.20%|2.50
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|18.20%|2.50
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|18.20%|1.00
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|9.10%|3.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|9.10%|3.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|9.10%|3.00
https://images.ygoprodeck.com/images/cards/99229085.jpg|Gimmick Puppet Cattle Scream|9.10%|1.00
https://images.ygoprodeck.com/images/cards/55204071.jpg|Gimmick Puppet Nightmare|9.10%|1.00
https://images.ygoprodeck.com/images/cards/5556668.jpg|Exchange|9.10%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|9.10%|3.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|9.10%|3.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|9.10%|2.00
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|9.10%|1.00
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|9.10%|1.00
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|9.10%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|9.10%|3.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|9.10%|3.00
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|9.10%|1.00
https://images.ygoprodeck.com/images/cards/55465441.jpg|Give and Take|9.10%|1.00
