image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|57.10%|3.00
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|57.10%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|42.90%|3.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|42.90%|1.67
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|28.60%|3.00
https://images.ygoprodeck.com/images/cards/35027493.jpg|Deck Devastation Virus|28.60%|3.00
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|28.60%|2.50
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|28.60%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|28.60%|1.50
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|28.60%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|28.60%|1.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|14.30%|3.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|14.30%|3.00
https://images.ygoprodeck.com/images/cards/38761908.jpg|Paleozoic Dinomischus|14.30%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|14.30%|3.00
https://images.ygoprodeck.com/images/cards/4227096.jpg|Mistaken Arrest|14.30%|3.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|14.30%|3.00
https://images.ygoprodeck.com/images/cards/83266092.jpg|Grave of the Super Ancient Organism|14.30%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|14.30%|3.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|14.30%|3.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|14.30%|3.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|14.30%|3.00
https://images.ygoprodeck.com/images/cards/76375976.jpg|Mystic Mine|14.30%|2.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|14.30%|2.00
https://images.ygoprodeck.com/images/cards/99550630.jpg|Sky Striker Maneuver - Afterburners!|14.30%|1.00
https://images.ygoprodeck.com/images/cards/77723643.jpg|Shaddoll Dragon|14.30%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|14.30%|1.00
https://images.ygoprodeck.com/images/cards/65330383.jpg|Knightmare Gryphon|14.30%|1.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|14.30%|1.00
https://images.ygoprodeck.com/images/cards/5133471.jpg|Galaxy Cyclone|14.30%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|14.30%|1.00
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|14.30%|1.00
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|14.30%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|14.30%|1.00
