image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/82570174.jpg|Sangenpai Bident Dragion|81.50%|2.00
https://images.ygoprodeck.com/images/cards/18969888.jpg|Sangenpai Transcendent Dragion|81.50%|1.35
https://images.ygoprodeck.com/images/cards/24361622.jpg|Hieratic Seal of the Heavenly Spheres|81.50%|1.18
https://images.ygoprodeck.com/images/cards/73580471.jpg|Black Rose Dragon|81.10%|1.00
https://images.ygoprodeck.com/images/cards/39402797.jpg|Trident Dragion|78.40%|1.01
https://images.ygoprodeck.com/images/cards/48815792.jpg|Hiita the Fire Charmer, Ablaze|75.30%|1.00
https://images.ygoprodeck.com/images/cards/80696379.jpg|Odd-Eyes Meteorburst Dragon|72.70%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|67.00%|1.06
https://images.ygoprodeck.com/images/cards/2772337.jpg|Promethean Princess, Bestower of Flames|62.60%|1.06
https://images.ygoprodeck.com/images/cards/87837090.jpg|Kuibelt the Blade Dragon|52.90%|1.01
https://images.ygoprodeck.com/images/cards/33698022.jpg|Black Rose Moonlight Dragon|51.10%|1.00
https://images.ygoprodeck.com/images/cards/40139997.jpg|Ruddy Rose Dragon|49.80%|1.00
https://images.ygoprodeck.com/images/cards/40509732.jpg|Samurai Destroyer|45.80%|1.00
https://images.ygoprodeck.com/images/cards/73539069.jpg|Striker Dragon|40.10%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|28.20%|1.02
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|27.80%|1.00
https://images.ygoprodeck.com/images/cards/45112597.jpg|Worldsea Dragon Zealantis|26.90%|1.00
https://images.ygoprodeck.com/images/cards/37880706.jpg|Duelittle Chimera|14.50%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|11.50%|1.00
https://images.ygoprodeck.com/images/cards/25862681.jpg|Ancient Fairy Dragon|11.50%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|11.00%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|10.60%|1.00
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|9.70%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|8.40%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|7.90%|1.17
https://images.ygoprodeck.com/images/cards/67508932.jpg|Timelord Progenitor Vorpgate|7.50%|1.00
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|7.00%|1.06
https://images.ygoprodeck.com/images/cards/45819647.jpg|Selene, Queen of the Master Magicians|7.00%|1.00
https://images.ygoprodeck.com/images/cards/1686814.jpg|Ultimaya Tzolkin|6.60%|1.00
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|6.60%|1.00
https://images.ygoprodeck.com/images/cards/50954680.jpg|Crystal Wing Synchro Dragon|6.60%|1.00
https://images.ygoprodeck.com/images/cards/33158448.jpg|F.A. Dawn Dragster|6.20%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|5.70%|1.08
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|5.30%|1.17
https://images.ygoprodeck.com/images/cards/73218989.jpg|Black-Winged Assault Dragon|5.30%|1.00
https://images.ygoprodeck.com/images/cards/9940036.jpg|Mereologic Aggregator|4.80%|1.46
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|4.80%|1.09
https://images.ygoprodeck.com/images/cards/72167543.jpg|Downerd Magician|4.80%|1.00
https://images.ygoprodeck.com/images/cards/27572350.jpg|Bystial Dis Pater|4.80%|1.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|4.00%|1.44
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|4.00%|1.00
https://images.ygoprodeck.com/images/cards/7511613.jpg|Ryzeal Duodrive|3.50%|2.00
https://images.ygoprodeck.com/images/cards/34909328.jpg||3.50%|2.00
https://images.ygoprodeck.com/images/cards/6983839.jpg|Tornado Dragon|3.50%|1.00
https://images.ygoprodeck.com/images/cards/66011101.jpg|Number 60: Dugares the Timeless|3.50%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|3.50%|1.00
https://images.ygoprodeck.com/images/cards/1269512.jpg|Full Armored Utopic Ray Lancer|3.50%|1.00
https://images.ygoprodeck.com/images/cards/46772449.jpg|Evilswarm Exciton Knight|3.50%|1.00
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|3.50%|1.00
https://images.ygoprodeck.com/images/cards/39767432.jpg|Sorcerer of Sebek|3.10%|1.43
https://images.ygoprodeck.com/images/cards/21887175.jpg|Mekk-Knight Crusadia Avramax|3.10%|1.14
https://images.ygoprodeck.com/images/cards/9839115.jpg|Vagnawa the Moon-Eating Dragon|3.10%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|3.10%|1.00
https://images.ygoprodeck.com/images/cards/48608796.jpg|Lyrilusc - Assembled Nightingale|3.10%|1.00
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|3.10%|1.00
https://images.ygoprodeck.com/images/cards/62111090.jpg|Earth Golem @Ignister|3.10%|1.00
https://images.ygoprodeck.com/images/cards/63533837.jpg|Cyberse Quantum Dragon|3.10%|1.00
https://images.ygoprodeck.com/images/cards/64182380.jpg|Garunix Eternity, Hyang of the Fire Kings|2.60%|1.33
https://images.ygoprodeck.com/images/cards/22110647.jpg|Mecha Phantom Beast Dracossack|2.60%|1.00
https://images.ygoprodeck.com/images/cards/93854893.jpg|Dingirsu, the Orcust of the Evening Star|2.20%|1.60
https://images.ygoprodeck.com/images/cards/2061963.jpg|Number 104: Masquerade|2.20%|1.00
https://images.ygoprodeck.com/images/cards/98978921.jpg|Link Spider|2.20%|1.00
https://images.ygoprodeck.com/images/cards/79606837.jpg|Herald of the Arc Light|1.80%|2.00
https://images.ygoprodeck.com/images/cards/87871125.jpg|Salamangreat Sunlight Wolf|1.80%|1.50
https://images.ygoprodeck.com/images/cards/69946549.jpg|Predaplant Dragostapelia|1.80%|1.00
https://images.ygoprodeck.com/images/cards/80796456.jpg|Number 70: Malevolent Sin|1.80%|1.00
https://images.ygoprodeck.com/images/cards/41999284.jpg|Linkuriboh|1.80%|1.00
https://images.ygoprodeck.com/images/cards/20665527.jpg|Amphibious Swarmship Amblowhale|1.80%|1.00
https://images.ygoprodeck.com/images/cards/83827392.jpg|Expurrely Noir|1.30%|2.00
https://images.ygoprodeck.com/images/cards/98049934.jpg|Epurrely Beauty|1.30%|2.00
https://images.ygoprodeck.com/images/cards/24434049.jpg|Epurrely Plump|1.30%|1.67
https://images.ygoprodeck.com/images/cards/52645235.jpg|Epurrely Happiness|1.30%|1.67
https://images.ygoprodeck.com/images/cards/73542331.jpg|Kashtira Shangri-Ira|1.30%|1.33
