image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/76290637.jpg|Gimmick Puppet Fantasix Machinix|58.80%|2.00
https://images.ygoprodeck.com/images/cards/3685372.jpg|CXyz Gimmick Puppet Fanatix Machinix|58.80%|2.00
https://images.ygoprodeck.com/images/cards/69170557.jpg|Number C40: Gimmick Puppet of Dark Strings|58.80%|1.90
https://images.ygoprodeck.com/images/cards/97520532.jpg|Gimmick Puppet Chimera Doll|58.80%|1.90
https://images.ygoprodeck.com/images/cards/75433814.jpg|Number 40: Gimmick Puppet of Strings|58.80%|1.80
https://images.ygoprodeck.com/images/cards/88120966.jpg|Number 15: Gimmick Puppet Giant Grinder|58.80%|1.80
https://images.ygoprodeck.com/images/cards/33776843.jpg|Number C15: Gimmick Puppet Giant Hunter|58.80%|1.20
https://images.ygoprodeck.com/images/cards/7593748.jpg|Gimmick Puppet Gigantes Doll|58.80%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|41.20%|1.00
https://images.ygoprodeck.com/images/cards/73082255.jpg|The Zombie Vampire|35.30%|1.00
https://images.ygoprodeck.com/images/cards/23085002.jpg|Number 68: Sanaphond the Sky Prison|29.40%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|29.40%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|29.40%|1.00
https://images.ygoprodeck.com/images/cards/28226490.jpg|Tearlaments Kaleido-Heart|23.50%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|23.50%|1.00
https://images.ygoprodeck.com/images/cards/93860227.jpg|Necroquip Princess|23.50%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|23.50%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|23.50%|1.00
https://images.ygoprodeck.com/images/cards/69946549.jpg|Predaplant Dragostapelia|17.60%|1.00
