image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|75.00%|2.83
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|62.50%|3.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|62.50%|3.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|50.00%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|37.50%|3.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|37.50%|2.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|37.50%|1.00
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|37.50%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|25.00%|3.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|25.00%|1.00
https://images.ygoprodeck.com/images/cards/83986578.jpg|King Tiger Wanghu|25.00%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|25.00%|2.50
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|12.50%|3.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|12.50%|3.00
https://images.ygoprodeck.com/images/cards/32181268.jpg|Amano-Iwato|12.50%|2.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|12.50%|2.00
https://images.ygoprodeck.com/images/cards/78661339.jpg|Fantastical Dragon Phantazmay|12.50%|2.00
https://images.ygoprodeck.com/images/cards/62098216.jpg|Evil★Twins Ki-sikil & Lil-la|12.50%|1.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|12.50%|1.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|12.50%|3.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|12.50%|3.00
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|12.50%|2.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|12.50%|1.00
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|12.50%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|12.50%|3.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|12.50%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|12.50%|1.00
