image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|100.00%|3.00
https://images.ygoprodeck.com/images/cards/9396662.jpg|Mirror Mage of the Ice Barrier|100.00%|3.00
https://images.ygoprodeck.com/images/cards/18319762.jpg|Revealer of the Ice Barrier|100.00%|3.00
https://images.ygoprodeck.com/images/cards/32991027.jpg|Georgius, Swordman of the Ice Barrier|100.00%|2.00
https://images.ygoprodeck.com/images/cards/70703416.jpg|Hexa Spirit of the Ice Barrier|100.00%|2.00
https://images.ygoprodeck.com/images/cards/18494511.jpg|Icejade Ran Aegirine|100.00%|2.00
https://images.ygoprodeck.com/images/cards/44308317.jpg|Speaker for the Ice Barriers|100.00%|2.00
https://images.ygoprodeck.com/images/cards/9126351.jpg|Swap Frog|100.00%|2.00
https://images.ygoprodeck.com/images/cards/81275309.jpg|General Raiho of the Ice Barrier|100.00%|1.00
https://images.ygoprodeck.com/images/cards/84206435.jpg|Medallion of the Ice Barrier|100.00%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|100.00%|2.00
https://images.ygoprodeck.com/images/cards/43582229.jpg|Freezing Chains of the Ice Barrier|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|3.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|50.00%|3.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|50.00%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|50.00%|2.00
https://images.ygoprodeck.com/images/cards/15746348.jpg|Eria the Water Channeler|50.00%|1.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|50.00%|1.00
https://images.ygoprodeck.com/images/cards/88494899.jpg|Medium of the Ice Barrier|50.00%|1.00
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|50.00%|2.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|50.00%|2.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|50.00%|1.00
https://images.ygoprodeck.com/images/cards/34293667.jpg|Ice Barrier|50.00%|2.00
