image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|70.60%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|58.80%|2.50
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|47.10%|2.50
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|47.10%|2.62
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|47.10%|2.62
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|47.10%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|41.20%|2.71
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|41.20%|2.29
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|41.20%|2.43
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|35.30%|2.17
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|29.40%|2.40
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|29.40%|2.20
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|17.60%|2.33
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|11.80%|3.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|11.80%|1.50
https://images.ygoprodeck.com/images/cards/66192538.jpg|Danmari @Ignister|11.80%|1.00
https://images.ygoprodeck.com/images/cards/98978921.jpg|Link Spider|11.80%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|11.80%|2.50
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|11.80%|2.00
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|5.90%|3.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|5.90%|3.00
https://images.ygoprodeck.com/images/cards/43534808.jpg|Token Collector|5.90%|3.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|5.90%|2.00
https://images.ygoprodeck.com/images/cards/81109178.jpg|Fire Cracker|5.90%|1.00
https://images.ygoprodeck.com/images/cards/36956512.jpg|Gadarla, the Mystery Dust Kaiju|5.90%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|5.90%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|5.90%|1.00
https://images.ygoprodeck.com/images/cards/71278040.jpg|Parallel eXceed|5.90%|1.00
https://images.ygoprodeck.com/images/cards/72529749.jpg|Topologic Trisbaena|5.90%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|5.90%|3.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|5.90%|3.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|5.90%|1.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|5.90%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|5.90%|3.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|5.90%|2.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|5.90%|1.00
