image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/23440231.jpg|Infernoid Devyaty|100.00%|2.28
https://images.ygoprodeck.com/images/cards/51316684.jpg|Infernoid Seitsemas|100.00%|2.14
https://images.ygoprodeck.com/images/cards/14799437.jpg|Infernoid Onuncu|100.00%|2.11
https://images.ygoprodeck.com/images/cards/89423971.jpg|Infernoid Patrulea|100.00%|1.81
https://images.ygoprodeck.com/images/cards/52038272.jpg|Infernoid Harmadik|97.20%|1.11
https://images.ygoprodeck.com/images/cards/11110587.jpg|That Grass Looks Greener|94.40%|2.00
https://images.ygoprodeck.com/images/cards/58446973.jpg|Infernoid Decatron|91.70%|2.64
https://images.ygoprodeck.com/images/cards/96055137.jpg|Infernoid Sjette|91.70%|1.79
https://images.ygoprodeck.com/images/cards/88301393.jpg|Infernoid Attondel|91.70%|1.15
https://images.ygoprodeck.com/images/cards/31444249.jpg|Void Imagination|91.70%|2.85
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|91.70%|2.00
https://images.ygoprodeck.com/images/cards/60551528.jpg|Infernoid Pirmais|88.90%|1.31
https://images.ygoprodeck.com/images/cards/1845204.jpg|Instant Fusion|88.90%|1.00
https://images.ygoprodeck.com/images/cards/26034577.jpg|Infernoid Antra|86.10%|1.68
https://images.ygoprodeck.com/images/cards/31548814.jpg|Void Feast|86.10%|1.26
https://images.ygoprodeck.com/images/cards/78748366.jpg|Void Vanishment|80.60%|2.14
https://images.ygoprodeck.com/images/cards/60830240.jpg|Void Reignition|69.40%|2.28
https://images.ygoprodeck.com/images/cards/89023486.jpg|Original Sinful Spoils - Snake-Eye|66.70%|1.04
https://images.ygoprodeck.com/images/cards/25811989.jpg|Infernoid Piaty|63.90%|1.00
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|61.10%|1.36
https://images.ygoprodeck.com/images/cards/80845034.jpg|WANTED: Seeker of Sinful Spoils|61.10%|2.82
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|61.10%|1.77
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|58.30%|1.00
https://images.ygoprodeck.com/images/cards/90241276.jpg|Snake-Eyes Poplar|55.60%|1.90
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|55.60%|2.60
https://images.ygoprodeck.com/images/cards/9674034.jpg|Snake-Eye Ash|52.80%|2.84
https://images.ygoprodeck.com/images/cards/48452496.jpg|Snake-Eyes Flamberge Dragon|52.80%|1.05
https://images.ygoprodeck.com/images/cards/45663742.jpg|Snake-Eye Oak|52.80%|1.00
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|52.80%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|50.00%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|47.20%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|44.40%|2.94
https://images.ygoprodeck.com/images/cards/43040603.jpg|Monster Gate|44.40%|3.00
https://images.ygoprodeck.com/images/cards/58577036.jpg|Reasoning|44.40%|3.00
https://images.ygoprodeck.com/images/cards/84941194.jpg|Imsety, Glory of Horus|36.10%|3.00
https://images.ygoprodeck.com/images/cards/55623480.jpg|Fairy Tail - Snow|36.10%|1.23
https://images.ygoprodeck.com/images/cards/47330808.jpg|Hapi, Guidance of Horus|36.10%|1.00
https://images.ygoprodeck.com/images/cards/53639887.jpg|Divine Temple of the Snake-Eye|36.10%|1.00
https://images.ygoprodeck.com/images/cards/16528181.jpg|King's Sarcophagus|36.10%|1.00
https://images.ygoprodeck.com/images/cards/96235944.jpg|Void Breach|36.10%|1.00
https://images.ygoprodeck.com/images/cards/6351147.jpg|Transaction Rollback|36.10%|1.92
https://images.ygoprodeck.com/images/cards/42516299.jpg|Fire Recovery|27.80%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|25.00%|2.67
https://images.ygoprodeck.com/images/cards/62219643.jpg|Ghost Meets Girl - A Masterful Mayakashi Shiranui Saga|25.00%|1.00
https://images.ygoprodeck.com/images/cards/94820406.jpg|Dark Fusion|22.20%|2.88
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|22.20%|2.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|19.40%|2.57
https://images.ygoprodeck.com/images/cards/86541496.jpg|Left Arm Offering|16.70%|2.67
https://images.ygoprodeck.com/images/cards/72892473.jpg|Card Destruction|16.70%|1.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|13.90%|2.80
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|13.90%|1.40
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|11.10%|1.00
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|11.10%|1.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|8.30%|2.67
https://images.ygoprodeck.com/images/cards/59160188.jpg|Lair of Darkness|8.30%|1.33
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|8.30%|1.33
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|8.30%|1.33
https://images.ygoprodeck.com/images/cards/10802915.jpg|Tour Guide From the Underworld|5.60%|3.00
https://images.ygoprodeck.com/images/cards/41165831.jpg|Unchained Soul of Sharvara|5.60%|3.00
https://images.ygoprodeck.com/images/cards/26236560.jpg|Unchained Twins - Aruha|5.60%|3.00
https://images.ygoprodeck.com/images/cards/1966438.jpg|Abominable Unchained Soul|5.60%|1.00
https://images.ygoprodeck.com/images/cards/81035362.jpg|Fiendish Rhino Warrior|5.60%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|5.60%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|5.60%|1.00
https://images.ygoprodeck.com/images/cards/88554436.jpg|Unchained Soul of Shyama|5.60%|1.00
https://images.ygoprodeck.com/images/cards/53624265.jpg|Unchained Twins - Rakea|5.60%|1.00
