image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|84.60%|2.27
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|69.20%|2.67
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|61.50%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|61.50%|2.88
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|38.50%|2.40
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|30.80%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|23.10%|2.67
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|23.10%|1.67
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|23.10%|2.67
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|23.10%|1.67
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|15.40%|3.00
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|15.40%|2.00
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|15.40%|2.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|15.40%|2.00
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|15.40%|3.00
https://images.ygoprodeck.com/images/cards/36361633.jpg|Threatening Roar|15.40%|3.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|15.40%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|15.40%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|15.40%|1.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|15.40%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|7.70%|3.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|7.70%|3.00
https://images.ygoprodeck.com/images/cards/29726552.jpg|Kumongous, the Sticky String Kaiju|7.70%|2.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|7.70%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|7.70%|1.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|7.70%|1.00
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|7.70%|3.00
https://images.ygoprodeck.com/images/cards/45141013.jpg|Heat Wave|7.70%|3.00
https://images.ygoprodeck.com/images/cards/19844995.jpg|Power Filter|7.70%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|7.70%|2.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|7.70%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|7.70%|1.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|7.70%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|7.70%|1.00
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|7.70%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|7.70%|1.00
