image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|81.50%|2.96
https://images.ygoprodeck.com/images/cards/10158145.jpg|Knightmare Corruptor Iblee|70.40%|1.26
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|66.70%|2.50
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|63.00%|1.18
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|55.60%|2.67
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|40.70%|2.46
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|37.00%|1.80
https://images.ygoprodeck.com/images/cards/32807846.jpg|Reinforcement of the Army|37.00%|1.00
https://images.ygoprodeck.com/images/cards/37617348.jpg|Rescue-ACE Hydrant|33.30%|3.00
https://images.ygoprodeck.com/images/cards/65734501.jpg|Rescue-ACE Air Lifter|33.30%|3.00
https://images.ygoprodeck.com/images/cards/61292243.jpg|EMERGENCY!|33.30%|3.00
https://images.ygoprodeck.com/images/cards/38339996.jpg|Rescue-ACE Impulse|33.30%|2.33
https://images.ygoprodeck.com/images/cards/37495766.jpg|Rescue-ACE Turbulence|33.30%|2.00
https://images.ygoprodeck.com/images/cards/41443249.jpg|Rescue-ACE Preventer|33.30%|2.00
https://images.ygoprodeck.com/images/cards/63899465.jpg|Rescue-ACE HQ|33.30%|1.00
https://images.ygoprodeck.com/images/cards/99984170.jpg|RESCUE!|33.30%|1.00
https://images.ygoprodeck.com/images/cards/99162522.jpg|EXTINGUISH!|33.30%|1.00
https://images.ygoprodeck.com/images/cards/62777823.jpg|CONTAIN!|33.30%|1.00
https://images.ygoprodeck.com/images/cards/26372118.jpg|ALERT!|33.30%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|29.60%|2.38
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|29.60%|1.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|25.90%|3.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|25.90%|2.71
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|25.90%|1.00
https://images.ygoprodeck.com/images/cards/90000652.jpg|Rescue-ACE Fire Engine|25.90%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|22.20%|2.00
