image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/92714517.jpg|Big Welcome Labrynth|100.00%|2.76
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|99.30%|2.97
https://images.ygoprodeck.com/images/cards/74018812.jpg|Labrynth Stovie Torbie|99.30%|2.95
https://images.ygoprodeck.com/images/cards/37629703.jpg|Labrynth Chandraglier|99.30%|2.94
https://images.ygoprodeck.com/images/cards/1225009.jpg|Arianna the Labrynth Servant|99.30%|2.93
https://images.ygoprodeck.com/images/cards/2511.jpg|Labrynth Cooclock|98.70%|2.27
https://images.ygoprodeck.com/images/cards/81497285.jpg|Lady Labrynth of the Silver Castle|98.70%|1.89
https://images.ygoprodeck.com/images/cards/2347656.jpg|Lovely Labrynth of the Silver Castle|98.70%|1.02
https://images.ygoprodeck.com/images/cards/5380979.jpg|Welcome Labrynth|98.00%|1.92
https://images.ygoprodeck.com/images/cards/6351147.jpg|Transaction Rollback|92.10%|2.41
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|86.80%|2.61
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|85.50%|2.88
https://images.ygoprodeck.com/images/cards/49238328.jpg|Pot of Extravagance|82.20%|2.75
https://images.ygoprodeck.com/images/cards/75730490.jpg|Ariane the Labrynth Servant|76.30%|1.05
https://images.ygoprodeck.com/images/cards/73602965.jpg|Arias the Labrynth Butler|61.20%|2.23
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|49.30%|1.57
https://images.ygoprodeck.com/images/cards/33407125.jpg|Labrynth Labyrinth|46.10%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|38.80%|1.07
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|38.20%|1.55
https://images.ygoprodeck.com/images/cards/41165831.jpg|Unchained Soul of Sharvara|32.90%|1.02
https://images.ygoprodeck.com/images/cards/53417695.jpg|Escape of the Unchained|31.60%|1.04
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|28.90%|1.96
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|27.00%|1.00
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|25.00%|1.00
https://images.ygoprodeck.com/images/cards/20899496.jpg|Ice Dragon's Prison|23.00%|1.20
https://images.ygoprodeck.com/images/cards/82956214.jpg|Dogmatika Punishment|20.40%|1.39
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|18.40%|1.75
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|17.10%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|15.80%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|14.50%|2.14
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|11.20%|1.76
https://images.ygoprodeck.com/images/cards/60990740.jpg|Absolute King Back Jack|8.60%|2.00
https://images.ygoprodeck.com/images/cards/63086455.jpg|Terrors of the Overroot|8.60%|1.23
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|7.90%|2.00
https://images.ygoprodeck.com/images/cards/5168381.jpg|Archfiend's Ghastly Glitch|7.90%|1.42
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|5.90%|1.33
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|5.30%|1.62
https://images.ygoprodeck.com/images/cards/69895264.jpg|Labrynth Set-Up|4.60%|1.00
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|3.90%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|3.30%|2.80
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|3.30%|2.00
https://images.ygoprodeck.com/images/cards/53582587.jpg|Torrential Tribute|3.30%|1.80
https://images.ygoprodeck.com/images/cards/98173209.jpg|Crimson Gaia|3.30%|1.80
https://images.ygoprodeck.com/images/cards/98396890.jpg|Vision Resonator|3.30%|1.60
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|3.30%|1.60
https://images.ygoprodeck.com/images/cards/62991792.jpg|Soul Resonator|3.30%|1.40
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|3.30%|1.20
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|3.30%|1.20
https://images.ygoprodeck.com/images/cards/84478195.jpg|Barrier Statue of the Abyss|3.30%|1.20
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|3.30%|1.00
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|2.60%|3.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|2.60%|2.25
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|2.60%|1.25
https://images.ygoprodeck.com/images/cards/36553319.jpg|Farfa, Malebranche of the Burning Abyss|2.60%|1.00
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|2.60%|1.00
https://images.ygoprodeck.com/images/cards/67234805.jpg|Powersink Stone|2.00%|3.00
https://images.ygoprodeck.com/images/cards/93729896.jpg|Nightmare Throne|2.00%|3.00
https://images.ygoprodeck.com/images/cards/12467005.jpg|Tackle Crusader|2.00%|2.67
https://images.ygoprodeck.com/images/cards/1984618.jpg|Nadir Servant|2.00%|2.67
https://images.ygoprodeck.com/images/cards/35726888.jpg|Foolish Burial Goods|2.00%|2.00
https://images.ygoprodeck.com/images/cards/94192409.jpg|Compulsory Evacuation Device|2.00%|1.67
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|2.00%|1.33
https://images.ygoprodeck.com/images/cards/78371393.jpg|Yubel|2.00%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|2.00%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|2.00%|1.00
https://images.ygoprodeck.com/images/cards/90829280.jpg|Spirit of Yubel|2.00%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|2.00%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|2.00%|1.00
