image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|100.00%|2.23
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|100.00%|2.08
https://images.ygoprodeck.com/images/cards/71607202.jpg|Muckraker From the Underworld|100.00%|1.85
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|92.30%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|69.20%|1.00
https://images.ygoprodeck.com/images/cards/24269961.jpg|Unchained Soul Lord of Yama|53.80%|2.14
https://images.ygoprodeck.com/images/cards/93084621.jpg|Unchained Soul of Anguish|53.80%|1.57
https://images.ygoprodeck.com/images/cards/29479265.jpg|Unchained Abomination|46.20%|1.50
https://images.ygoprodeck.com/images/cards/67680512.jpg|Unchained Soul of Rage|46.20%|1.50
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|38.50%|1.00
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|30.80%|1.25
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|30.80%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|30.80%|1.00
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|23.10%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|15.40%|1.50
https://images.ygoprodeck.com/images/cards/4731783.jpg|A Bao A Qu, the Lightless Shadow|15.40%|1.00
https://images.ygoprodeck.com/images/cards/1482001.jpg|Clara & Rushka, the Ventriloduo|15.40%|1.00
https://images.ygoprodeck.com/images/cards/46772449.jpg|Evilswarm Exciton Knight|15.40%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|15.40%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|15.40%|1.00
https://images.ygoprodeck.com/images/cards/41999284.jpg|Linkuriboh|15.40%|1.00
https://images.ygoprodeck.com/images/cards/63436931.jpg|Crimson Dragon|7.70%|1.00
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|7.70%|1.00
https://images.ygoprodeck.com/images/cards/79266769.jpg|Darkness Metal, the Dragon of Dark Steel|7.70%|1.00
https://images.ygoprodeck.com/images/cards/62111090.jpg|Earth Golem @Ignister|7.70%|1.00
https://images.ygoprodeck.com/images/cards/14529511.jpg|Mementomictlan Tecuhtlica - Creation King|7.70%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|7.70%|1.00
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|7.70%|1.00
https://images.ygoprodeck.com/images/cards/66011101.jpg|Number 60: Dugares the Timeless|7.70%|1.00
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|7.70%|1.00
https://images.ygoprodeck.com/images/cards/7511613.jpg|Ryzeal Duodrive|7.70%|1.00
https://images.ygoprodeck.com/images/cards/60303245.jpg|Salamangreat Almiraj|7.70%|1.00
https://images.ygoprodeck.com/images/cards/68059897.jpg|Maliss Q Red Ransom|7.70%|1.00
https://images.ygoprodeck.com/images/cards/95454996.jpg|Maliss Q White Binder|7.70%|1.00
https://images.ygoprodeck.com/images/cards/34909328.jpg|Ryzeal Detonator|7.70%|1.00
