image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|63.20%|1.18
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|52.40%|1.37
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|42.30%|1.42
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|40.10%|1.80
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|28.30%|2.84
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|27.70%|2.74
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|27.70%|1.31
https://images.ygoprodeck.com/images/cards/9822220.jpg|Lord of the Heavenly Prison|27.00%|2.45
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|26.40%|2.85
https://images.ygoprodeck.com/images/cards/4931121.jpg|Full Force Virus|24.10%|1.07
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|19.90%|2.49
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|18.60%|2.81
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|18.20%|2.50
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|17.90%|2.58
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|17.30%|2.83
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|16.90%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|15.60%|2.98
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|15.30%|1.83
https://images.ygoprodeck.com/images/cards/35027493.jpg|Deck Devastation Virus|15.30%|1.04
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|12.10%|1.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|11.70%|2.39
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|11.70%|2.19
https://images.ygoprodeck.com/images/cards/63542003.jpg|Keldo the Sacred Protector|11.10%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|11.10%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|10.10%|2.68
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|9.10%|1.00
https://images.ygoprodeck.com/images/cards/96474800.jpg|Magic Deflector|8.80%|1.11
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|8.50%|2.42
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|8.10%|2.72
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|7.50%|2.87
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|6.80%|1.52
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|6.20%|1.74
https://images.ygoprodeck.com/images/cards/33407125.jpg|Labrynth Labyrinth|5.90%|1.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|5.90%|1.00
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|5.50%|2.29
https://images.ygoprodeck.com/images/cards/30748475.jpg|Destructive Daruma Karma Cannon|5.20%|1.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|4.90%|2.53
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|4.60%|2.79
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|4.60%|1.93
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|4.60%|2.57
https://images.ygoprodeck.com/images/cards/19619755.jpg|Performapal Five-Rainbow Magician|4.20%|2.69
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|3.90%|2.75
https://images.ygoprodeck.com/images/cards/30459350.jpg|Imperial Iron Wall|3.90%|1.50
https://images.ygoprodeck.com/images/cards/84478195.jpg|Barrier Statue of the Abyss|3.60%|1.18
https://images.ygoprodeck.com/images/cards/36956512.jpg|Gadarla, the Mystery Dust Kaiju|3.30%|1.70
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|2.90%|2.78
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|2.90%|2.33
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|2.90%|2.33
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|2.60%|1.25
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|2.60%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|2.60%|2.75
