image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|77.40%|1.54
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|67.70%|1.95
https://images.ygoprodeck.com/images/cards/71607202.jpg|Muckraker From the Underworld|67.70%|1.76
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|58.10%|1.33
https://images.ygoprodeck.com/images/cards/90590303.jpg|Number 41: Bagooska the Terribly Tired Tapir|58.10%|1.22
https://images.ygoprodeck.com/images/cards/24269961.jpg|Unchained Soul Lord of Yama|38.70%|1.25
https://images.ygoprodeck.com/images/cards/92385016.jpg|Munin the Runick Wings|35.50%|1.00
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|35.50%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|35.50%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|32.30%|1.10
https://images.ygoprodeck.com/images/cards/67680512.jpg|Unchained Soul of Rage|32.30%|1.10
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|32.30%|1.00
https://images.ygoprodeck.com/images/cards/47219274.jpg|Freki the Runick Fangs|32.30%|1.00
https://images.ygoprodeck.com/images/cards/55990317.jpg|Hugin the Runick Wings|32.30%|1.00
https://images.ygoprodeck.com/images/cards/93084621.jpg|Unchained Soul of Anguish|29.00%|1.22
https://images.ygoprodeck.com/images/cards/29479265.jpg|Unchained Abomination|25.80%|1.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|22.60%|1.14
https://images.ygoprodeck.com/images/cards/28373620.jpg|Geri the Runick Fangs|22.60%|1.00
https://images.ygoprodeck.com/images/cards/41578483.jpg|Millennium-Eyes Restrict|22.60%|1.00
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|22.60%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|19.40%|1.00
https://images.ygoprodeck.com/images/cards/66011101.jpg|Number 60: Dugares the Timeless|19.40%|1.00
https://images.ygoprodeck.com/images/cards/71100270.jpg|Goblin's Crazy Beast|16.10%|1.20
https://images.ygoprodeck.com/images/cards/21044178.jpg|Abyss Dweller|16.10%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|16.10%|1.00
https://images.ygoprodeck.com/images/cards/39317553.jpg|Drill Driver Vespenato|9.70%|2.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|9.70%|1.33
https://images.ygoprodeck.com/images/cards/93860227.jpg|Necroquip Princess|9.70%|1.33
https://images.ygoprodeck.com/images/cards/81330115.jpg|Number 30: Acid Golem of Destruction|9.70%|1.33
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|9.70%|1.00
https://images.ygoprodeck.com/images/cards/46772449.jpg|Evilswarm Exciton Knight|9.70%|1.00
https://images.ygoprodeck.com/images/cards/35103106.jpg|Evolzar Lars|9.70%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|9.70%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|9.70%|1.00
https://images.ygoprodeck.com/images/cards/63519819.jpg|Thousand-Eyes Restrict|9.70%|1.00
https://images.ygoprodeck.com/images/cards/83531441.jpg|Dante, Traveler of the Burning Abyss|6.50%|2.00
https://images.ygoprodeck.com/images/cards/34001672.jpg|Goblin Biker Big Gabonga|6.50%|1.50
https://images.ygoprodeck.com/images/cards/7628844.jpg|Number C32: Shark Drake LeVeiss|6.50%|1.50
https://images.ygoprodeck.com/images/cards/96864105.jpg|Number C73: Abyss Supra Splash|6.50%|1.50
https://images.ygoprodeck.com/images/cards/62709239.jpg|The Phantom Knights of Break Sword|6.50%|1.50
https://images.ygoprodeck.com/images/cards/69601012.jpg|Berfomet the Mythical King of Phantom Beasts|6.50%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|6.50%|1.00
https://images.ygoprodeck.com/images/cards/12014404.jpg|Gagaga Cowboy|6.50%|1.00
https://images.ygoprodeck.com/images/cards/47506081.jpg|Grenosaurus|6.50%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|6.50%|1.00
https://images.ygoprodeck.com/images/cards/29510428.jpg|Imperial Princess Quinquery|6.50%|1.00
https://images.ygoprodeck.com/images/cards/75452921.jpg|Knightmare Cerberus|6.50%|1.00
https://images.ygoprodeck.com/images/cards/69610924.jpg|Number 17: Leviathan Dragon|6.50%|1.00
https://images.ygoprodeck.com/images/cards/45935145.jpg|Wollow, Founder of the Drudge Dragons|6.50%|1.00
https://images.ygoprodeck.com/images/cards/6247535.jpg|Borreload eXcharge Dragon|3.20%|2.00
https://images.ygoprodeck.com/images/cards/44405066.jpg|Red-Eyes Flare Metal Dragon|3.20%|2.00
https://images.ygoprodeck.com/images/cards/94119480.jpg|Adreus, Keeper of Armageddon|3.20%|1.00
https://images.ygoprodeck.com/images/cards/28143384.jpg|Aerial Eater|3.20%|1.00
https://images.ygoprodeck.com/images/cards/3544583.jpg|Allvain the Essence of Vanity|3.20%|1.00
https://images.ygoprodeck.com/images/cards/69840739.jpg|Artifact Durendal|3.20%|1.00
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|3.20%|1.00
https://images.ygoprodeck.com/images/cards/88305705.jpg|Brave-Eyes Pendulum Dragon|3.20%|1.00
https://images.ygoprodeck.com/images/cards/1769875.jpg|Chimera the King of Phantom Beasts|3.20%|1.00
https://images.ygoprodeck.com/images/cards/38250531.jpg|Crimson Knight Vampire Bram|3.20%|1.00
https://images.ygoprodeck.com/images/cards/59765225.jpg|Crystal Clear Wing Synchro Dragon|3.20%|1.00
https://images.ygoprodeck.com/images/cards/58069384.jpg|Cyber Dragon Nova|3.20%|1.00
https://images.ygoprodeck.com/images/cards/51497409.jpg|D/D/D Stone King Darius|3.20%|1.00
https://images.ygoprodeck.com/images/cards/78144171.jpg|Dark Armed, the Dragon of Annihilation|3.20%|1.00
https://images.ygoprodeck.com/images/cards/1621413.jpg|Dark Requiem Xyz Dragon|3.20%|1.00
https://images.ygoprodeck.com/images/cards/93854893.jpg|Dingirsu, the Orcust of the Evening Star|3.20%|1.00
https://images.ygoprodeck.com/images/cards/72167543.jpg|Downerd Magician|3.20%|1.00
https://images.ygoprodeck.com/images/cards/62111090.jpg|Earth Golem @Ignister|3.20%|1.00
https://images.ygoprodeck.com/images/cards/72444406.jpg|Enigmaster Packbit|3.20%|1.00
https://images.ygoprodeck.com/images/cards/18511599.jpg|Evolzar Solda|3.20%|1.00
https://images.ygoprodeck.com/images/cards/32991300.jpg|Fiendsmith's Agnumday|3.20%|1.00
https://images.ygoprodeck.com/images/cards/46640168.jpg|Fiendsmith's Lacrima|3.20%|1.00
https://images.ygoprodeck.com/images/cards/93125329.jpg|Golden Cloud Beast - Malong|3.20%|1.00
https://images.ygoprodeck.com/images/cards/97051536.jpg|Infernoid Evil|3.20%|1.00
https://images.ygoprodeck.com/images/cards/65330383.jpg|Knightmare Gryphon|3.20%|1.00
https://images.ygoprodeck.com/images/cards/49689480.jpg|Madolche Queen Tiarafraise|3.20%|1.00
https://images.ygoprodeck.com/images/cards/22110647.jpg|Mecha Phantom Beast Dracossack|3.20%|1.00
https://images.ygoprodeck.com/images/cards/9940036.jpg|Mereologic Aggregator|3.20%|1.00
https://images.ygoprodeck.com/images/cards/48739166.jpg|Number 101: Silent Honor ARK|3.20%|1.00
https://images.ygoprodeck.com/images/cards/80117527.jpg|Number 11: Big Eye|3.20%|1.00
https://images.ygoprodeck.com/images/cards/53701457.jpg|Number 28: Titanic Moth|3.20%|1.00
https://images.ygoprodeck.com/images/cards/65676461.jpg|Number 32: Shark Drake|3.20%|1.00
