image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|97.30%|2.28
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|83.80%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|70.30%|2.46
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|67.60%|2.76
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|62.20%|1.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|59.50%|2.23
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|51.40%|1.53
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|48.60%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|45.90%|1.06
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|37.80%|2.07
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|32.40%|2.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|27.00%|2.20
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|18.90%|2.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|16.20%|1.33
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|16.20%|2.67
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|10.80%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|8.10%|1.33
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|8.10%|1.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|5.40%|3.00
https://images.ygoprodeck.com/images/cards/4227096.jpg|Mistaken Arrest|5.40%|2.50
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|5.40%|2.00
https://images.ygoprodeck.com/images/cards/164710.jpg|Mischief of the Gnomes|5.40%|2.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|5.40%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|5.40%|1.00
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|2.70%|3.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|2.70%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|2.70%|2.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|2.70%|2.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|2.70%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|2.70%|3.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|2.70%|2.00
https://images.ygoprodeck.com/images/cards/81674782.jpg|Dimensional Fissure|2.70%|2.00
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|2.70%|2.00
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|2.70%|2.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|2.70%|1.00
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|2.70%|1.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|2.70%|1.00
