image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/32061192.jpg|Maliss P Dormouse|100.00%|2.78
https://images.ygoprodeck.com/images/cards/69272449.jpg|Maliss P White Rabbit|100.00%|2.62
https://images.ygoprodeck.com/images/cards/96676583.jpg|Maliss P Chessy Cat|100.00%|2.31
https://images.ygoprodeck.com/images/cards/68337209.jpg|Maliss in Underground|100.00%|2.73
https://images.ygoprodeck.com/images/cards/94722358.jpg|Maliss C MTP-07|100.00%|1.00
https://images.ygoprodeck.com/images/cards/75500286.jpg|Gold Sarcophagus|99.00%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|97.60%|2.31
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|97.60%|1.00
https://images.ygoprodeck.com/images/cards/20726052.jpg|Maliss C GWC-06|97.60%|1.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|94.70%|3.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|81.70%|2.17
https://images.ygoprodeck.com/images/cards/57111661.jpg|Maliss C TB-11|79.80%|1.00
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|76.90%|2.89
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|70.20%|2.81
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|64.90%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|60.60%|2.94
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|58.20%|1.17
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|54.30%|2.88
https://images.ygoprodeck.com/images/cards/1475311.jpg|Allure of Darkness|53.40%|2.36
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|44.20%|2.54
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|43.80%|2.92
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|32.70%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|22.60%|2.77
https://images.ygoprodeck.com/images/cards/30118811.jpg|Backup @Ignister|18.80%|2.95
https://images.ygoprodeck.com/images/cards/20938824.jpg|Maliss P March Hare|18.80%|2.77
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|18.80%|2.21
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|18.80%|1.49
https://images.ygoprodeck.com/images/cards/3723262.jpg|Wizard @Ignister|18.80%|1.00
https://images.ygoprodeck.com/images/cards/93453053.jpg|Maliss in the Mirror|18.80%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|14.90%|1.71
https://images.ygoprodeck.com/images/cards/60764609.jpg|Fiendsmith Engraver|13.00%|2.85
https://images.ygoprodeck.com/images/cards/97651498.jpg|Fabled Lurrie|13.00%|1.00
https://images.ygoprodeck.com/images/cards/28803166.jpg|Lacrima the Crimson Tears|13.00%|1.00
https://images.ygoprodeck.com/images/cards/98567237.jpg|Fiendsmith's Tract|13.00%|2.00
https://images.ygoprodeck.com/images/cards/99989863.jpg|Fiendsmith in Paradise|12.50%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|12.00%|2.04
