image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|76.50%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|70.60%|2.33
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|58.80%|2.50
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|58.80%|2.10
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|47.10%|2.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|47.10%|2.50
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|41.20%|1.86
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|41.20%|1.43
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|41.20%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|41.20%|2.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|29.40%|1.20
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|23.50%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|23.50%|2.75
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|23.50%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|17.60%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|17.60%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|17.60%|3.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|17.60%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|11.80%|2.50
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|5.90%|3.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|5.90%|3.00
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|5.90%|2.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|5.90%|2.00
https://images.ygoprodeck.com/images/cards/9464441.jpg|Adamancipator Risen - Dragite|5.90%|1.00
https://images.ygoprodeck.com/images/cards/95040215.jpg|Blackwing - Nothung the Starlight|5.90%|1.00
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|5.90%|1.00
https://images.ygoprodeck.com/images/cards/12014404.jpg|Gagaga Cowboy|5.90%|1.00
https://images.ygoprodeck.com/images/cards/59120809.jpg|Scareclaw Tri-Heart|5.90%|1.00
https://images.ygoprodeck.com/images/cards/80666118.jpg|Scarlight Red Dragon Archfiend|5.90%|1.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|5.90%|3.00
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|5.90%|3.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|5.90%|2.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|5.90%|2.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|5.90%|2.00
https://images.ygoprodeck.com/images/cards/94016752.jpg|Herald of the Abyss|5.90%|1.00
https://images.ygoprodeck.com/images/cards/7811875.jpg|Gravity Collapse|5.90%|3.00
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|5.90%|2.00
https://images.ygoprodeck.com/images/cards/18158393.jpg|Mannadium Reframing|5.90%|1.00
https://images.ygoprodeck.com/images/cards/95245571.jpg|Scareclaw Twinsaw|5.90%|1.00
