image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.94
https://images.ygoprodeck.com/images/cards/57160136.jpg|Cynet Mining|100.00%|2.59
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|2.47
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|2.00
https://images.ygoprodeck.com/images/cards/17946349.jpg|Mathmech Diameter|100.00%|1.29
https://images.ygoprodeck.com/images/cards/80965043.jpg|Mathmech Addition|100.00%|1.29
https://images.ygoprodeck.com/images/cards/27182739.jpg|Mathmech Sigma|100.00%|1.12
https://images.ygoprodeck.com/images/cards/87804365.jpg|Mathmech Superfactorial|100.00%|1.00
https://images.ygoprodeck.com/images/cards/36521307.jpg|Mathmech Circular|100.00%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|100.00%|1.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|88.20%|2.47
https://images.ygoprodeck.com/images/cards/16360142.jpg|Mathmech Subtraction|88.20%|1.33
https://images.ygoprodeck.com/images/cards/14025912.jpg|Mathmech Equation|76.50%|1.00
https://images.ygoprodeck.com/images/cards/18789533.jpg|Dotscaper|76.50%|1.00
https://images.ygoprodeck.com/images/cards/2347477.jpg|Micro Coder|70.60%|1.75
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|70.60%|1.25
https://images.ygoprodeck.com/images/cards/16188701.jpg|Lady Debug|64.70%|1.91
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|64.70%|1.54
https://images.ygoprodeck.com/images/cards/30114823.jpg|Code Generator|64.70%|1.18
https://images.ygoprodeck.com/images/cards/52354896.jpg|Mathmech Multiplication|64.70%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|58.80%|1.00
https://images.ygoprodeck.com/images/cards/7403341.jpg|Cynet Conflict|58.80%|1.00
https://images.ygoprodeck.com/images/cards/20455229.jpg|Firewall Defenser|52.90%|2.67
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|52.90%|1.56
https://images.ygoprodeck.com/images/cards/71278040.jpg|Parallel eXceed|47.10%|2.88
https://images.ygoprodeck.com/images/cards/60018643.jpg|Cynet Codec|47.10%|1.12
https://images.ygoprodeck.com/images/cards/86605184.jpg|Firewall Guardian|47.10%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|41.20%|1.29
https://images.ygoprodeck.com/images/cards/82257671.jpg|Gatchiri @Ignister|41.20%|1.00
https://images.ygoprodeck.com/images/cards/67972302.jpg|Sakitama|35.30%|2.17
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|35.30%|1.00
https://images.ygoprodeck.com/images/cards/57940938.jpg|Firewall Phantom|35.30%|1.00
https://images.ygoprodeck.com/images/cards/10158145.jpg|Knightmare Corruptor Iblee|29.40%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|23.50%|1.25
