image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/64881644.jpg|Refrain the Melodious Songstress|100.00%|3.00
https://images.ygoprodeck.com/images/cards/90276649.jpg|Couplet the Melodious Songstress|100.00%|2.96
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.96
https://images.ygoprodeck.com/images/cards/9113513.jpg|Ostinato|100.00%|3.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|2.00
https://images.ygoprodeck.com/images/cards/31458630.jpg|Melodious Concerto|100.00%|1.04
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|100.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|95.70%|2.91
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|82.60%|1.26
https://images.ygoprodeck.com/images/cards/14513273.jpg|Supreme King Gate Magician|65.20%|3.00
https://images.ygoprodeck.com/images/cards/69610326.jpg|Supreme King Dragon Darkwurm|65.20%|2.07
https://images.ygoprodeck.com/images/cards/41908872.jpg|Supreme King Dragon Lightwurm|65.20%|2.07
https://images.ygoprodeck.com/images/cards/76794549.jpg|Astrograph Sorcerer|65.20%|1.00
https://images.ygoprodeck.com/images/cards/96227613.jpg|Supreme King Gate Zero|65.20%|1.00
https://images.ygoprodeck.com/images/cards/41620959.jpg|Dragon Shrine|65.20%|1.93
https://images.ygoprodeck.com/images/cards/82190203.jpg|Wings of Light|65.20%|1.80
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|60.90%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|56.50%|2.23
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|52.20%|1.42
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|39.10%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|39.10%|1.00
https://images.ygoprodeck.com/images/cards/76990617.jpg|Sonata the Melodious Diva|34.80%|2.38
https://images.ygoprodeck.com/images/cards/62895219.jpg|Soprano the Melodious Songstress|34.80%|1.88
https://images.ygoprodeck.com/images/cards/40502912.jpg|Aria the Melodious Diva|34.80%|1.00
https://images.ygoprodeck.com/images/cards/5908650.jpg|Shopina the Melodious Maestra|34.80%|1.00
https://images.ygoprodeck.com/images/cards/44256816.jpg|1st Movement Solo|34.80%|3.00
https://images.ygoprodeck.com/images/cards/16021142.jpg|Canon the Melodious Diva|26.10%|1.00
https://images.ygoprodeck.com/images/cards/17266660.jpg|Herald of Orange Light|21.70%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|17.40%|1.25
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|17.40%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|17.40%|1.00
https://images.ygoprodeck.com/images/cards/79514956.jpg|Elegy the Melodious Diva|13.00%|1.00
https://images.ygoprodeck.com/images/cards/97045737.jpg|Dominus Purge|13.00%|2.67
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|8.70%|1.50
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|8.70%|2.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|8.70%|2.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|8.70%|1.50
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|8.70%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|4.30%|2.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|4.30%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|4.30%|1.00
https://images.ygoprodeck.com/images/cards/49238328.jpg|Pot of Extravagance|4.30%|2.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|4.30%|1.00
https://images.ygoprodeck.com/images/cards/101205078.jpg||4.30%|2.00
