image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/90276649.jpg|Couplet the Melodious Songstress|100.00%|3.00
https://images.ygoprodeck.com/images/cards/64881644.jpg|Refrain the Melodious Songstress|100.00%|3.00
https://images.ygoprodeck.com/images/cards/62895219.jpg|Soprano the Melodious Songstress|100.00%|2.22
https://images.ygoprodeck.com/images/cards/76990617.jpg|Sonata the Melodious Diva|100.00%|2.00
https://images.ygoprodeck.com/images/cards/40502912.jpg|Aria the Melodious Diva|100.00%|1.00
https://images.ygoprodeck.com/images/cards/5908650.jpg|Shopina the Melodious Maestra|100.00%|1.00
https://images.ygoprodeck.com/images/cards/9113513.jpg|Ostinato|100.00%|3.00
https://images.ygoprodeck.com/images/cards/44256816.jpg|1st Movement Solo|100.00%|2.89
https://images.ygoprodeck.com/images/cards/31458630.jpg|Melodious Concerto|100.00%|1.22
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|88.90%|2.38
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|88.90%|1.50
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|88.90%|3.00
https://images.ygoprodeck.com/images/cards/97045737.jpg|Dominus Purge|77.80%|2.86
https://images.ygoprodeck.com/images/cards/17266660.jpg|Herald of Orange Light|66.70%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|66.70%|1.67
https://images.ygoprodeck.com/images/cards/16021142.jpg|Canon the Melodious Diva|66.70%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|66.70%|1.83
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|44.40%|2.50
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|44.40%|2.25
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|44.40%|1.00
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|33.30%|2.33
https://images.ygoprodeck.com/images/cards/79514956.jpg|Elegy the Melodious Diva|11.10%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|11.10%|1.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|11.10%|2.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|11.10%|2.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|11.10%|2.00
https://images.ygoprodeck.com/images/cards/67234805.jpg|Powersink Stone|11.10%|3.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|11.10%|1.00
