image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|47.30%|2.96
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|43.60%|2.00
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|38.20%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|34.50%|2.79
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|30.90%|2.88
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|30.90%|1.00
https://images.ygoprodeck.com/images/cards/43215738.jpg|Mementotlan Fracture Dance|29.10%|1.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|25.50%|3.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|25.50%|1.79
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|23.60%|2.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|21.80%|1.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|20.00%|3.00
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|18.20%|2.70
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|18.20%|1.80
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|16.40%|2.78
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|14.50%|2.62
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|14.50%|1.50
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|14.50%|1.00
https://images.ygoprodeck.com/images/cards/53765052.jpg|Diabellze the Original Sinkeeper|14.50%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|14.50%|2.62
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|14.50%|2.50
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|14.50%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|12.70%|1.00
https://images.ygoprodeck.com/images/cards/79600447.jpg|Mementotlan Cranium Burst|12.70%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|10.90%|2.50
