image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/91740879.jpg|Cauldron of the Old Man|100.00%|3.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|100.00%|3.00
https://images.ygoprodeck.com/images/cards/48934760.jpg|Demise of the Land|100.00%|3.00
https://images.ygoprodeck.com/images/cards/76375976.jpg|Mystic Mine|100.00%|3.00
https://images.ygoprodeck.com/images/cards/98645731.jpg|Pot of Duality|100.00%|3.00
https://images.ygoprodeck.com/images/cards/49238328.jpg|Pot of Extravagance|100.00%|3.00
https://images.ygoprodeck.com/images/cards/59750328.jpg|Card of Demise|100.00%|1.00
https://images.ygoprodeck.com/images/cards/33782437.jpg|One Day of Peace|100.00%|1.00
https://images.ygoprodeck.com/images/cards/70368879.jpg|Upstart Goblin|100.00%|1.00
https://images.ygoprodeck.com/images/cards/77538567.jpg|Dark Bribe|100.00%|3.00
https://images.ygoprodeck.com/images/cards/53334471.jpg|Gozen Match|100.00%|3.00
https://images.ygoprodeck.com/images/cards/14470845.jpg|Ojama Duo|100.00%|3.00
https://images.ygoprodeck.com/images/cards/29843091.jpg|Ojama Trio|100.00%|3.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|100.00%|3.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|100.00%|3.00
https://images.ygoprodeck.com/images/cards/89208725.jpg|Metaverse|100.00%|1.00
