image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|86.00%|2.81
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|86.00%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|56.00%|1.75
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|54.00%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|36.00%|1.33
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|34.00%|2.77
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|32.00%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|30.00%|1.60
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|30.00%|1.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|26.00%|1.69
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|26.00%|2.08
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|26.00%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|22.00%|2.18
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|22.00%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|22.00%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|22.00%|2.36
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|20.00%|2.40
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|20.00%|1.70
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|16.00%|1.75
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|16.00%|1.12
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|16.00%|2.50
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|16.00%|1.50
https://images.ygoprodeck.com/images/cards/87126721.jpg|Mulcharmy Meowls|16.00%|2.38
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|12.00%|2.50
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|12.00%|1.50
https://images.ygoprodeck.com/images/cards/40366667.jpg|Dominus Impulse|10.00%|2.40
https://images.ygoprodeck.com/images/cards/97940434.jpg|Chaos Hunter|8.00%|2.25
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|8.00%|1.75
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|6.00%|2.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|6.00%|1.33
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|6.00%|2.00
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|6.00%|2.00
https://images.ygoprodeck.com/images/cards/164710.jpg|Mischief of the Gnomes|6.00%|2.67
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|6.00%|1.33
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|4.00%|3.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|4.00%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|4.00%|1.00
https://images.ygoprodeck.com/images/cards/85103922.jpg|Artifact Moralltach|2.00%|1.00
https://images.ygoprodeck.com/images/cards/62111090.jpg|Earth Golem @Ignister|2.00%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|2.00%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|2.00%|1.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|2.00%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|2.00%|1.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|2.00%|1.00
https://images.ygoprodeck.com/images/cards/1697104.jpg|PSY-Framegear Epsilon|2.00%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|2.00%|1.00
https://images.ygoprodeck.com/images/cards/77723643.jpg|Shaddoll Dragon|2.00%|1.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|2.00%|1.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|2.00%|3.00
https://images.ygoprodeck.com/images/cards/4227096.jpg|Mistaken Arrest|2.00%|3.00
https://images.ygoprodeck.com/images/cards/44394295.jpg|Shaddoll Fusion|2.00%|3.00
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|2.00%|2.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|2.00%|1.00
https://images.ygoprodeck.com/images/cards/24081957.jpg|Sinful Spoils of Subversion - Snake-Eye|2.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|2.00%|3.00
https://images.ygoprodeck.com/images/cards/59305593.jpg|Mistake|2.00%|2.00
https://images.ygoprodeck.com/images/cards/67234805.jpg|Powersink Stone|2.00%|2.00
https://images.ygoprodeck.com/images/cards/14883228.jpg|Typhoon|2.00%|2.00
https://images.ygoprodeck.com/images/cards/9070454.jpg|Draco-Utopian Aura|2.00%|1.00
https://images.ygoprodeck.com/images/cards/4931121.jpg|Full Force Virus|2.00%|1.00
https://images.ygoprodeck.com/images/cards/20899496.jpg|Ice Dragon's Prison|2.00%|1.00
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|2.00%|1.00
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|2.00%|1.00
https://images.ygoprodeck.com/images/cards/11429811.jpg|Warning Point|2.00%|1.00
