image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|88.90%|2.25
https://images.ygoprodeck.com/images/cards/102380.jpg|Lava Golem|66.70%|1.83
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|66.70%|1.00
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|66.70%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|55.60%|1.60
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|55.60%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|44.40%|2.50
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|44.40%|1.25
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|44.40%|1.25
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|33.30%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|33.30%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|22.20%|2.50
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|22.20%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|22.20%|1.50
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|22.20%|1.50
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|22.20%|1.50
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|22.20%|1.50
https://images.ygoprodeck.com/images/cards/68462976.jpg|Secret Village of the Spellcasters|22.20%|1.00
https://images.ygoprodeck.com/images/cards/92332424.jpg|Majesty Pegasus, the Dracoslayer|22.20%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|11.10%|3.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|11.10%|3.00
https://images.ygoprodeck.com/images/cards/63014935.jpg|Volcanic Queen|11.10%|2.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|11.10%|2.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|11.10%|2.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|11.10%|2.00
https://images.ygoprodeck.com/images/cards/59494222.jpg|Gravekeeper's Inscription|11.10%|2.00
https://images.ygoprodeck.com/images/cards/80101899.jpg|Trap Trick|11.10%|1.00
https://images.ygoprodeck.com/images/cards/6351147.jpg|Transaction Rollback|11.10%|1.00
https://images.ygoprodeck.com/images/cards/63086455.jpg|Terrors of the Overroot|11.10%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|11.10%|1.00
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|11.10%|1.00
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|11.10%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|11.10%|1.00
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|11.10%|1.00
https://images.ygoprodeck.com/images/cards/62219643.jpg|Ghost Meets Girl - A Masterful Mayakashi Shiranui Saga|11.10%|1.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|11.10%|1.00
https://images.ygoprodeck.com/images/cards/54974237.jpg|Eradicator Epidemic Virus|11.10%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|11.10%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|11.10%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|11.10%|1.00
