image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/85747929.jpg|Galaxy Photon Dragon|100.00%|2.00
https://images.ygoprodeck.com/images/cards/3356494.jpg|Galaxy-Eyes Solflare Dragon|100.00%|2.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|100.00%|1.00
https://images.ygoprodeck.com/images/cards/46772449.jpg|Evilswarm Exciton Knight|100.00%|1.00
https://images.ygoprodeck.com/images/cards/63767246.jpg|Number 38: Hope Harbinger Dragon Titanic Galaxy|100.00%|1.00
https://images.ygoprodeck.com/images/cards/31801517.jpg|Number 62: Galaxy-Eyes Prime Photon Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/23085002.jpg|Number 68: Sanaphond the Sky Prison|100.00%|1.00
https://images.ygoprodeck.com/images/cards/8165596.jpg|Number 90: Galaxy-Eyes Photon Lord|100.00%|1.00
https://images.ygoprodeck.com/images/cards/48348921.jpg|Number C62: Neo Galaxy-Eyes Prime Photon Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|100.00%|1.00
https://images.ygoprodeck.com/images/cards/16643334.jpg|Starliege Photon Blast Dragon|100.00%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|100.00%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|100.00%|1.00
