image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/25550531.jpg|Purrely|100.00%|2.72
https://images.ygoprodeck.com/images/cards/79933029.jpg|Purrelyly|100.00%|2.51
https://images.ygoprodeck.com/images/cards/82105704.jpg|Purrely Happy Memory|100.00%|3.00
https://images.ygoprodeck.com/images/cards/29599813.jpg|Purrely Pretty Memory|100.00%|2.99
https://images.ygoprodeck.com/images/cards/56700100.jpg|My Friend Purrely|100.00%|2.98
https://images.ygoprodeck.com/images/cards/21347668.jpg|Purrely Sleepy Memory|100.00%|2.29
https://images.ygoprodeck.com/images/cards/55584558.jpg|Purrely Delicious Memory|100.00%|1.28
https://images.ygoprodeck.com/images/cards/82983267.jpg|Purrelyeap!?|100.00%|1.08
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|94.10%|2.90
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|94.10%|2.67
https://images.ygoprodeck.com/images/cards/20212491.jpg|Stray Purrely Street|90.60%|2.87
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|69.40%|2.49
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|62.40%|2.32
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|49.40%|2.26
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|45.90%|1.61
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|43.50%|2.70
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|43.50%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|34.10%|2.83
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|31.80%|2.89
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|25.90%|2.91
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|22.40%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|17.60%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|15.30%|1.61
https://images.ygoprodeck.com/images/cards/68353324.jpg|Nimble Beaver|12.90%|2.91
https://images.ygoprodeck.com/images/cards/88686573.jpg|Nimble Angler|12.90%|2.82
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|12.90%|1.36
https://images.ygoprodeck.com/images/cards/76145933.jpg|Spright Blue|11.80%|1.90
https://images.ygoprodeck.com/images/cards/13533678.jpg|Spright Jet|11.80%|1.00
https://images.ygoprodeck.com/images/cards/75922381.jpg|Spright Red|11.80%|1.00
https://images.ygoprodeck.com/images/cards/2311090.jpg|Spright Carrot|10.60%|1.00
https://images.ygoprodeck.com/images/cards/15443125.jpg|Spright Starter|10.60%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|9.40%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|9.40%|1.75
https://images.ygoprodeck.com/images/cards/68250822.jpg|Spright Double Cross|9.40%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|7.10%|1.67
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|7.10%|2.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|5.90%|2.60
