image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/73539069.jpg|Striker Dragon|86.10%|1.13
https://images.ygoprodeck.com/images/cards/24361622.jpg|Hieratic Seal of the Heavenly Spheres|85.20%|1.35
https://images.ygoprodeck.com/images/cards/13143275.jpg|Guardragon Pisty|80.00%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|78.30%|1.00
https://images.ygoprodeck.com/images/cards/11969228.jpg|Dragunity Knight - Romulus|76.50%|1.00
https://images.ygoprodeck.com/images/cards/27572350.jpg|Bystial Dis Pater|72.20%|1.00
https://images.ygoprodeck.com/images/cards/98630720.jpg|Borrelend Dragon|72.20%|1.00
https://images.ygoprodeck.com/images/cards/27548199.jpg|Borreload Savage Dragon|68.70%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|67.80%|1.00
https://images.ygoprodeck.com/images/cards/49725936.jpg|Triple Burst Dragon|67.00%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|67.00%|1.00
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|67.00%|1.00
https://images.ygoprodeck.com/images/cards/38342335.jpg|Knightmare Unicorn|60.00%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|58.30%|1.00
https://images.ygoprodeck.com/images/cards/27337596.jpg|Hieratic Dragon King of Atum|48.70%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|29.60%|1.03
https://images.ygoprodeck.com/images/cards/80666118.jpg|Scarlight Red Dragon Archfiend|27.00%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|18.30%|1.00
https://images.ygoprodeck.com/images/cards/37818794.jpg|Red-Eyes Dark Dragoon|14.80%|1.47
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|12.20%|1.00
https://images.ygoprodeck.com/images/cards/23732205.jpg|Dillingerous Dragon|11.30%|1.00
https://images.ygoprodeck.com/images/cards/30983281.jpg|Accel Synchro Stardust Dragon|10.40%|1.00
https://images.ygoprodeck.com/images/cards/80532587.jpg|Elder Entity N'tss|8.70%|1.40
https://images.ygoprodeck.com/images/cards/70369116.jpg|Predaplant Verte Anaconda|7.80%|1.00
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|7.00%|1.25
https://images.ygoprodeck.com/images/cards/98462037.jpg|Sky Striker Ace - Azalea|7.00%|1.00
https://images.ygoprodeck.com/images/cards/2857636.jpg|Knightmare Phoenix|7.00%|1.00
https://images.ygoprodeck.com/images/cards/41999284.jpg|Linkuriboh|6.10%|1.00
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|5.20%|1.00
https://images.ygoprodeck.com/images/cards/73082255.jpg|The Zombie Vampire|5.20%|1.00
https://images.ygoprodeck.com/images/cards/87451661.jpg|Scarred Dragon Archfiend|5.20%|1.00
https://images.ygoprodeck.com/images/cards/70902743.jpg|Red Dragon Archfiend|5.20%|1.00
https://images.ygoprodeck.com/images/cards/29296344.jpg|Quadborrel Dragon|5.20%|1.00
https://images.ygoprodeck.com/images/cards/44146295.jpg|Mirrorjade the Iceblade Dragon|5.20%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|5.20%|1.00
https://images.ygoprodeck.com/images/cards/87746184.jpg|Albion the Branded Dragon|5.20%|1.00
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|4.30%|1.00
https://images.ygoprodeck.com/images/cards/63767246.jpg|Number 38: Hope Harbinger Dragon Titanic Galaxy|4.30%|1.00
https://images.ygoprodeck.com/images/cards/91949988.jpg|Gaia Dragon, the Thunder Charger|4.30%|1.00
https://images.ygoprodeck.com/images/cards/72167543.jpg|Downerd Magician|4.30%|1.00
