image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|88.10%|1.97
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|73.70%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|53.40%|2.29
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|48.30%|2.25
https://images.ygoprodeck.com/images/cards/71948047.jpg|REINFORCE!|48.30%|1.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|45.80%|2.41
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|39.80%|1.30
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|39.80%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|38.10%|1.24
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|36.40%|1.91
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|33.10%|2.23
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|27.10%|1.53
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|24.60%|1.69
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|22.90%|2.07
https://images.ygoprodeck.com/images/cards/43262273.jpg|Appointer of the Red Lotus|20.30%|1.25
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|20.30%|1.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|17.80%|1.95
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|14.40%|1.88
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|14.40%|1.59
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|14.40%|1.29
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|12.70%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|12.70%|1.53
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|11.00%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|11.00%|2.31
https://images.ygoprodeck.com/images/cards/64612053.jpg|Rescue-ACE Fire Attacker|9.30%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|9.30%|2.09
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|8.50%|2.20
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|8.50%|1.40
https://images.ygoprodeck.com/images/cards/64697431.jpg|Hey, Trunade!|8.50%|1.20
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|7.60%|2.44
https://images.ygoprodeck.com/images/cards/49299410.jpg|The Black Goat Laughs|7.60%|1.11
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|6.80%|2.38
https://images.ygoprodeck.com/images/cards/38339996.jpg|Rescue-ACE Impulse|5.90%|1.29
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|5.90%|1.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|5.90%|1.43
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|4.20%|2.60
https://images.ygoprodeck.com/images/cards/24081957.jpg|Sinful Spoils of Subversion - Snake-Eye|4.20%|1.00
https://images.ygoprodeck.com/images/cards/63899465.jpg|Rescue-ACE HQ|3.40%|1.00
https://images.ygoprodeck.com/images/cards/35112613.jpg|Kuriphoton|2.50%|1.33
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|2.50%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|2.50%|1.00
https://images.ygoprodeck.com/images/cards/91706817.jpg|Angel of Blue Tears|2.50%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|2.50%|3.00
https://images.ygoprodeck.com/images/cards/10000080.jpg|The Winged Dragon of Ra - Sphere Mode|1.70%|3.00
https://images.ygoprodeck.com/images/cards/74203495.jpg|PSY-Framegear Delta|1.70%|2.50
https://images.ygoprodeck.com/images/cards/20292186.jpg|Artifact Scythe|1.70%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|1.70%|1.00
https://images.ygoprodeck.com/images/cards/59494222.jpg|Gravekeeper's Inscription|1.70%|2.50
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|1.70%|2.00
https://images.ygoprodeck.com/images/cards/1845204.jpg|Instant Fusion|1.70%|1.00
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|1.70%|1.00
https://images.ygoprodeck.com/images/cards/101206024.jpg||1.70%|3.00
https://images.ygoprodeck.com/images/cards/72270339.jpg|Diabellstar the Black Witch|0.80%|2.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|0.80%|2.00
https://images.ygoprodeck.com/images/cards/9822220.jpg|Lord of the Heavenly Prison|0.80%|2.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|0.80%|1.00
https://images.ygoprodeck.com/images/cards/93332803.jpg|Dogoran, the Mad Flame Kaiju|0.80%|1.00
https://images.ygoprodeck.com/images/cards/93672138.jpg|Evil★Twin's Trouble Sunny|0.80%|1.00
https://images.ygoprodeck.com/images/cards/62098216.jpg|Evil★Twins Ki-sikil & Lil-la|0.80%|1.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|0.80%|1.00
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|0.80%|1.00
https://images.ygoprodeck.com/images/cards/51916853.jpg|Magical Hound|0.80%|1.00
https://images.ygoprodeck.com/images/cards/44097050.jpg|Mecha Phantom Beast Auroradon|0.80%|1.00
https://images.ygoprodeck.com/images/cards/72291078.jpg|Mecha Phantom Beast O-Lion|0.80%|1.00
https://images.ygoprodeck.com/images/cards/31480215.jpg|Mecha Phantom Beast Warbluran|0.80%|1.00
https://images.ygoprodeck.com/images/cards/57134592.jpg|Salamangreat Raging Phoenix|0.80%|1.00
https://images.ygoprodeck.com/images/cards/45112597.jpg|Worldsea Dragon Zealantis|0.80%|1.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|0.80%|3.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|0.80%|2.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|0.80%|2.00
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|0.80%|2.00
https://images.ygoprodeck.com/images/cards/1372887.jpg|Shared Ride|0.80%|1.00
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|0.80%|3.00
https://images.ygoprodeck.com/images/cards/69452756.jpg|Unending Nightmare|0.80%|2.00
https://images.ygoprodeck.com/images/cards/19254117.jpg|Rise to Full Height|0.80%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|0.80%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|0.80%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|0.80%|1.00
