image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.87
https://images.ygoprodeck.com/images/cards/71002019.jpg|Mudan the Rikka Fairy|100.00%|1.74
https://images.ygoprodeck.com/images/cards/48686504.jpg|Lonefire Blossom|100.00%|1.35
https://images.ygoprodeck.com/images/cards/69164989.jpg|Rikka Glamour|100.00%|2.44
https://images.ygoprodeck.com/images/cards/76869711.jpg|Rikka Konkon|100.00%|1.65
https://images.ygoprodeck.com/images/cards/68941332.jpg|Rikka Sheet|100.00%|1.00
https://images.ygoprodeck.com/images/cards/132308.jpg|Rikka Princess|95.70%|2.00
https://images.ygoprodeck.com/images/cards/71734607.jpg|Rikka Petal|95.70%|1.96
https://images.ygoprodeck.com/images/cards/27520594.jpg|Sunseed Genius Loci|91.30%|2.86
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|91.30%|2.00
https://images.ygoprodeck.com/images/cards/53286626.jpg|Sunvine Sowing|91.30%|1.71
https://images.ygoprodeck.com/images/cards/911883.jpg|Unexpected Dai|87.00%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|87.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|87.00%|2.95
https://images.ygoprodeck.com/images/cards/66407907.jpg|Sunseed Twin|82.60%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|78.30%|1.17
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|60.90%|2.07
https://images.ygoprodeck.com/images/cards/33491462.jpg|Snowdrop the Rikka Fairy|60.90%|1.00
https://images.ygoprodeck.com/images/cards/8129306.jpg|Primula the Rikka Fairy|56.50%|1.23
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|47.80%|1.09
https://images.ygoprodeck.com/images/cards/99153051.jpg|Ragnaraika the Evil Seed|43.50%|3.00
https://images.ygoprodeck.com/images/cards/26548709.jpg|Ragnaraika Samurai Beetle|43.50%|1.00
https://images.ygoprodeck.com/images/cards/4841383.jpg|Ragnaraika Bloom|43.50%|1.10
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|34.80%|1.38
https://images.ygoprodeck.com/images/cards/89824842.jpg|Ragnaraika Hunting Dance|34.80%|1.00
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|30.40%|2.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|26.10%|1.33
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|26.10%|1.00
https://images.ygoprodeck.com/images/cards/31615285.jpg|Cactus Bouncer|17.40%|1.00
https://images.ygoprodeck.com/images/cards/83610035.jpg|"Therion ""Lily"" Borea"|13.00%|2.67
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|13.00%|1.00
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|13.00%|1.00
https://images.ygoprodeck.com/images/cards/84792926.jpg|Therion Discolosseum|13.00%|1.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|8.70%|1.50
https://images.ygoprodeck.com/images/cards/14169843.jpg|Aromage Laurel|8.70%|1.00
https://images.ygoprodeck.com/images/cards/29177818.jpg|Rose Girl|8.70%|1.00
https://images.ygoprodeck.com/images/cards/30013902.jpg|Sunseed Shadow|8.70%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|8.70%|1.50
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|4.30%|3.00
https://images.ygoprodeck.com/images/cards/24689197.jpg|Aromalilith Rosalina|4.30%|1.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|4.30%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|4.30%|1.00
https://images.ygoprodeck.com/images/cards/61049315.jpg|Naturia Rosewhip|4.30%|1.00
https://images.ygoprodeck.com/images/cards/63198739.jpg|Primite Dragon Ether Beryl|4.30%|1.00
https://images.ygoprodeck.com/images/cards/97262307.jpg|Ragnaraika Wicked Butterfly|4.30%|1.00
https://images.ygoprodeck.com/images/cards/56506740.jpg|Primite Lordly Lode|4.30%|3.00
https://images.ygoprodeck.com/images/cards/92501449.jpg|Primite Roar|4.30%|3.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|4.30%|2.00
https://images.ygoprodeck.com/images/cards/29095457.jpg|Primite Drillbeam|4.30%|2.00
https://images.ygoprodeck.com/images/cards/89558743.jpg|Small World|4.30%|2.00
https://images.ygoprodeck.com/images/cards/49238328.jpg|Pot of Extravagance|4.30%|1.00
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|4.30%|1.00
https://images.ygoprodeck.com/images/cards/73628505.jpg|Terraforming|4.30%|1.00
