image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|77.80%|1.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|66.70%|1.83
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|55.60%|1.60
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|55.60%|2.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|55.60%|1.60
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|44.40%|1.50
https://images.ygoprodeck.com/images/cards/96789758.jpg|Aromage Jasmine|44.40%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|44.40%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|44.40%|1.25
https://images.ygoprodeck.com/images/cards/91800273.jpg|Dimension Shifter|33.30%|2.00
https://images.ygoprodeck.com/images/cards/20174189.jpg|Naturia Bamboo Shoot|33.30%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|33.30%|2.33
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|33.30%|1.67
https://images.ygoprodeck.com/images/cards/34267821.jpg|Artifact Lancea|22.20%|2.00
https://images.ygoprodeck.com/images/cards/29942771.jpg|Naturia Camellia|22.20%|1.00
https://images.ygoprodeck.com/images/cards/61049315.jpg|Naturia Rosewhip|22.20%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|22.20%|1.50
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|22.20%|1.00
https://images.ygoprodeck.com/images/cards/3734202.jpg|Naturia Sacred Tree|22.20%|1.00
https://images.ygoprodeck.com/images/cards/90846359.jpg|Rivalry of Warlords|22.20%|1.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|11.10%|3.00
https://images.ygoprodeck.com/images/cards/46502744.jpg|"Retaliating ""C"""|11.10%|3.00
https://images.ygoprodeck.com/images/cards/24689197.jpg|Aromalilith Rosalina|11.10%|1.00
https://images.ygoprodeck.com/images/cards/31615285.jpg|Cactus Bouncer|11.10%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|11.10%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|11.10%|1.00
https://images.ygoprodeck.com/images/cards/30537973.jpg|Predaplant Spider Orchid|11.10%|1.00
https://images.ygoprodeck.com/images/cards/71734607.jpg|Rikka Petal|11.10%|1.00
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|11.10%|1.00
https://images.ygoprodeck.com/images/cards/83610035.jpg|"Therion ""Lily"" Borea"|11.10%|1.00
https://images.ygoprodeck.com/images/cards/78610936.jpg|Xyz Encore|11.10%|3.00
https://images.ygoprodeck.com/images/cards/35059553.jpg|Kaiser Colosseum|11.10%|2.00
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|11.10%|1.00
https://images.ygoprodeck.com/images/cards/2295440.jpg|One for One|11.10%|1.00
https://images.ygoprodeck.com/images/cards/69164989.jpg|Rikka Glamour|11.10%|1.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|11.10%|1.00
https://images.ygoprodeck.com/images/cards/84792926.jpg|Therion Discolosseum|11.10%|1.00
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|11.10%|2.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|11.10%|1.00
https://images.ygoprodeck.com/images/cards/6540606.jpg|Spiritual Water Art - Aoi|11.10%|1.00
